"Sample ID","log_alpha","y0","yf","alpha","Site","Vegetation"
"BHM-B-1",-4.71054650904114,28.9197699234161,-0.244254867390354,0.00899985773456745,"Brimham Moor","Bracken"
"BHM-B-10",-4.68320786820021,22.1902988261224,-0.162897412601986,0.00924929572494505,"Brimham Moor","Bracken"
"BHM-B-2",-4.44485138577383,36.1769568975674,-0.0916712235810745,0.0117388504614931,"Brimham Moor","Bracken"
"BHM-B-3",-5.05884630698513,20.4199102539069,-0.698375931204196,0.00635288456521294,"Brimham Moor","Bracken"
"BHM-B-4",-4.81648116845664,6.58532939843581,-0.0807657358664852,0.00809522280495592,"Brimham Moor","Bracken"
"BHM-B-5",-4.47633379661013,20.3634819870941,-0.0668472653314231,0.0113750400120309,"Brimham Moor","Bracken"
"BHM-B-6",-4.71936423266232,17.5357852705921,-0.146748649476888,0.00892084832991016,"Brimham Moor","Bracken"
"BHM-B-7",-4.56887320928426,26.601283332548,-0.12476934261066,0.0103696375484577,"Brimham Moor","Bracken"
"BHM-B-8",-4.87389291704391,6.40113885333905,-0.102564217808031,0.00764355158217543,"Brimham Moor","Bracken"
"BHM-B-9",-4.79752262069141,28.1221191918525,-0.343726167255338,0.00825016052960089,"Brimham Moor","Bracken"
"BHM-H-1",-4.76184388471909,18.6441168371251,-0.188038572866664,0.00854982995342896,"Brimham Moor","Heather"
"BHM-H-10",-4.77987902339725,15.6366186111735,-0.159735735296352,0.00839701474836485,"Brimham Moor","Heather"
"BHM-H-2",-4.58098800500271,34.1075340508143,-0.15039210451473,0.0102447694110913,"Brimham Moor","Heather"
"BHM-H-3",-4.80048450939139,15.6260419943741,-0.183528168899066,0.00822576062509395,"Brimham Moor","Heather"
"BHM-H-4",-4.94533908118694,5.93075068191338,-0.126270496092171,0.00711650118323674,"Brimham Moor","Heather"
"BHM-H-5",-4.74874605864081,16.1287205191902,-0.145332981091494,0.00866255072623519,"Brimham Moor","Heather"
"BHM-H-6",-4.91978627194317,6.66220033247009,-0.121867863844692,0.00730069104256385,"Brimham Moor","Heather"
"BHM-H-7",-4.89720023996279,4.2204961254734,-0.0678920646809829,0.00746746092947923,"Brimham Moor","Heather"
"BHM-H-8",-4.88549006477326,4.32906521955285,-0.0810463294063256,0.0075554202093335,"Brimham Moor","Heather"
"BHM-H-9",-4.68277364361992,23.9402756743502,-0.176516595435294,0.00925331286860736,"Brimham Moor","Heather"
"BRI-B-1",-4.54729085890376,16.546005673383,-0.0786472967272161,0.0105958712452742,"Bridestones","Bracken"
"BRI-B-10",-4.55496514105168,12.3746946111219,-0.0555113117371592,0.0105148667629216,"Bridestones","Bracken"
"BRI-B-2",-5.0759730692885,20.226253344319,-0.754732743822431,0.0062450066578986,"Bridestones","Bracken"
"BRI-B-3",-4.52309941150053,18.839186877188,-0.0748847644924219,0.0108553263512686,"Bridestones","Bracken"
"BRI-B-4",-4.54116001229071,17.496792287402,-0.081377938603028,0.0106610324491812,"Bridestones","Bracken"
"BRI-B-5",-4.68055879116273,12.1658074822226,-0.0901720241398597,0.00927383030451078,"Bridestones","Bracken"
"BRI-B-6",-4.81670649326513,4.57029789777066,-0.0669337085158104,0.00809339895591465,"Bridestones","Bracken"
"BRI-B-7",-4.59427860227747,10.4588529213488,-0.0688080959858385,0.0101095111293469,"Bridestones","Bracken"
"BRI-B-8",-4.64048351470477,21.088287489633,-0.119928885838763,0.00965302911745827,"Bridestones","Bracken"
"BRI-B-9",-4.58849859692122,19.4629281258144,-0.0940454883532969,0.0101681133552626,"Bridestones","Bracken"
"BRI-H-1",-4.63340384316377,36.856886672613,-0.230627636877213,0.00972161187823829,"Bridestones","Heather"
"BRI-H-10",-4.91295996904081,4.54990031631594,-0.0941957072960608,0.0073506982590325,"Bridestones","Heather"
"BRI-H-2",-4.85869465021472,8.14883117075491,-0.127081629335228,0.00776060758966618,"Bridestones","Heather"
"BRI-H-3",-4.730966894735,9.01523083436938,-0.0995695627316123,0.00881794089588991,"Bridestones","Heather"
"BRI-H-4",-4.93667533931133,3.86940461064801,-0.0874305034806187,0.00717842456932989,"Bridestones","Heather"
"BRI-H-5",-5.11302051458345,3.42006443825108,-0.126411289952492,0.00601787835452589,"Bridestones","Heather"
"BRI-H-6",-4.7969518162131,29.8267997511994,-0.335783762894456,0.00825487110245814,"Bridestones","Heather"
"BRI-H-7",-4.71751900945134,13.9853757503072,-0.130517540622828,0.00893732448272508,"Bridestones","Heather"
"BRI-H-8",-4.67993149734487,9.83022341197446,-0.0941265056392179,0.00927964954592491,"Bridestones","Heather"
"BRI-H-9",-4.67847200082528,11.4906797945375,-0.0810307392245304,0.00929320305038056,"Bridestones","Heather"
"HAW-B-1",-4.48475092554292,17.0945186989917,-0.0703288936858178,0.0112796966552046,"Haweswater","Bracken"
"HAW-B-10",-4.44964255443277,27.5752192835393,-0.0941443850628322,0.0116827421685492,"Haweswater","Bracken"
"HAW-B-2",-4.49881137314096,28.5825185369809,-0.0972301077581062,0.0111222088405979,"Haweswater","Bracken"
"HAW-B-3",-4.44713066901998,31.6070555765849,-0.0864944643062573,0.0117121247655929,"Haweswater","Bracken"
"HAW-B-4",-4.29908211895283,57.5373830563625,-0.081218244007067,0.0135810190528984,"Haweswater","Bracken"
"HAW-B-5",-3.93281464810455,161.551920359508,-0.0073105670751811,0.0195884602653782,"Haweswater","Bracken"
"HAW-B-6",-4.39713143210459,51.1389938064027,-0.108614083852883,0.0123126088476517,"Haweswater","Bracken"
"HAW-B-7",-4.38325076561675,45.2255615225021,-0.0858176165464131,0.0124847077249972,"Haweswater","Bracken"
"HAW-B-8",-4.47708159706079,18.4461733076038,-0.0684148361090804,0.0113665369316836,"Haweswater","Bracken"
"HAW-B-9",-4.49895983545928,32.2082851634755,-0.118710602285545,0.0111205577342551,"Haweswater","Bracken"
"HAW-H-1",-4.51893561585359,16.0074085242847,-0.0701449469302739,0.0109006199430677,"Haweswater","Heather"
"HAW-H-10",-4.36451791966119,51.8522393111491,-0.0912891270981928,0.0127207861382141,"Haweswater","Heather"
"HAW-H-2",-4.48669085094347,35.3765109350849,-0.0786107058954258,0.0112578360959355,"Haweswater","Heather"
"HAW-H-3",-4.4736593555268,28.358926337319,-0.0923497486427712,0.0114055026034093,"Haweswater","Heather"
"HAW-H-4",-4.41050092593372,25.8906717584487,-0.0570421557850558,0.0121490910106358,"Haweswater","Heather"
"HAW-H-5",-4.41687547226035,46.8416644488957,-0.0010082017420524,0.012071892381693,"Haweswater","Heather"
