SampleID,Site,Vegetation,Tray mass (g),Tray + Wet soil (g),Tray + Dry soil (g),Wet Soil Mass (g),Dry Soil Mass (g),Gravimetric Soil Moisture Content (%)
BRI-B-1,Bridestones,Bracken,1.7238,3.3725,2.3444,1.6487,0.6206,165.6622623
BRI-B-2,Bridestones,Bracken,1.7111,3.8083,2.3096,2.0972,0.5985,250.4093567
BRI-B-3,Bridestones,Bracken,1.7331,3.6066,2.7034,1.8735,0.9703,93.08461301
BRI-B-4,Bridestones,Bracken,1.7077,3.5678,2.4521,1.8601,0.7444,149.8790973
BRI-B-5,Bridestones,Bracken,1.6985,3.5108,2.4855,1.8123,0.787,130.2795426
BRI-B-6,Bridestones,Bracken,1.7222,3.3689,2.676,1.6467,0.9538,72.64625708
BRI-B-7,Bridestones,Bracken,1.7257,3.6349,2.8411,1.9092,1.1154,71.16729424
BRI-B-8,Bridestones,Bracken,1.7054,3.1346,2.0468,1.4292,0.3414,318.629174
BRI-B-9,Bridestones,Bracken,1.7227,3.7023,2.4876,1.9796,0.7649,158.8050726
BRI-B-10,Bridestones,Bracken,1.5603,4.1538,3.0349,2.5935,1.4746,75.87820426
BRI-H-1,Bridestones,Heath,1.7034,3.3659,2.2099,1.6625,0.5065,228.2329714
BRI-H-2,Bridestones,Heath,1.7128,3.6155,2.1674,1.9027,0.4546,318.5437747
BRI-H-3,Bridestones,Heath,1.7166,3.4775,2.0095,1.7609,0.2929,501.1949471
BRI-H-4,Bridestones,Heath,1.58,4.6086,4.0692,3.0286,2.4892,21.66961273
BRI-H-5,Bridestones,Heath,1.7216,3.8042,2.6474,2.0826,0.9258,124.9513934
BRI-H-6,Bridestones,Heath,1.7108,4.4582,3.6841,2.7474,1.9733,39.22870319
BRI-H-7,Bridestones,Heath,1.7191,4.0793,2.6924,2.3602,0.9733,142.494606
BRI-H-8,Bridestones,Heath,1.5785,3.4253,2.0772,1.8468,0.4987,270.3228394
BRI-H-9,Bridestones,Heath,1.5687,3.5915,2.0389,2.0228,0.4702,330.1999149
BRI-H-10,Bridestones,Heath,1.5551,3.4692,2.3028,1.9141,0.7477,155.9983951
SWM-B-1,Scarth Wood Moor,Bracken,1.5616,4.5725,3.5221,3.0109,1.9605,53.57816883
SWM-B-2,Scarth Wood Moor,Bracken,1.5684,4.0281,2.3039,2.4597,0.7355,234.4255608
SWM-B-3,Scarth Wood Moor,Bracken,1.5658,3.8569,1.9986,2.2911,0.4328,429.3669131
SWM-B-4,Scarth Wood Moor,Bracken,1.5468,4.6246,3.2415,3.0778,1.6947,81.61326488
SWM-B-5,Scarth Wood Moor,Bracken,1.5816,4.4048,3.7075,2.8232,2.1259,32.80022579
