SampleID,Site,Vegetation,Soil Mass (g),Water added (ml),Notes,Dry soil:water ratio,Temperature (oC),pH,Date
BRI-B-1,Bridestones,Bracken,5.0233,25,,5,19,3.61,06/12/2024
BRI-B-2,Bridestones,Bracken,5.0520,25,,5,19,3.67,06/12/2024
BRI-B-3,Bridestones,Bracken,5.0568,25,,5,19,3.54,06/12/2024
BRI-B-4,Bridestones,Bracken,5.0983,25,,5,19,3.50,06/12/2024
BRI-B-5,Bridestones,Bracken,5.0355,25,,5,19,3.36,06/12/2024
BRI-B-6,Bridestones,Bracken,5.0450,25,,5,19,3.41,06/12/2024
BRI-B-7,Bridestones,Bracken,5.0417,25,,5,19,3.32,06/12/2024
BRI-B-8,Bridestones,Bracken,5.0850,25,,5,19,3.56,06/12/2024
BRI-B-9,Bridestones,Bracken,2.7121,25,,9,19,3.20,06/12/2024
BRI-B-10,Bridestones,Bracken,2.7711,25,,9,19,3.43,06/12/2024
BRI-H-1,Bridestones,Heath,5.0903,25,,5,19,3.62,06/12/2024
BRI-H-2,Bridestones,Heath,5.0586,25,,5,19,3.59,06/12/2024
BRI-H-3,Bridestones,Heath,0.9059,25,,28,19,3.39,06/12/2024
BRI-H-4,Bridestones,Heath,4.9986,25,,5,19,3.72,06/12/2024
BRI-H-5,Bridestones,Heath,4.9543,25,,5,19,3.80,06/12/2024
BRI-H-6,Bridestones,Heath,5.0747,25,,5,19,3.66,06/12/2024
BRI-H-7,Bridestones,Heath,5.0482,25,,5,19,3.41,06/12/2024
BRI-H-8,Bridestones,Heath,1.9789,25,,13,19,3.48,06/12/2024
BRI-H-9,Bridestones,Heath,2.5706,25,,10,19,3.51,06/12/2024
BRI-H-10,Bridestones,Heath,5.0787,25,,5,19,3.41,06/12/2024
SWM-B-1,Scarth Wood Moor,Bracken,5.0922,25,,5,19,5.45,06/12/2024
SWM-B-2,Scarth Wood Moor,Bracken,4.9689,25,,5,19,3.03,06/12/2024
SWM-B-3,Scarth Wood Moor,Bracken,1.3576,25,,18,19,3.42,06/12/2024
SWM-B-4,Scarth Wood Moor,Bracken,4.9566,25,,5,19,3.27,06/12/2024
SWM-B-5,Scarth Wood Moor,Bracken,4.9976,25,,5,19,3.36,06/12/2024
SWM-B-6,Scarth Wood Moor,Bracken,4.9213,25,,5,19,3.42,06/12/2024
SWM-B-7,Scarth Wood Moor,Bracken,4.9770,25,,5,19,3.52,06/12/2024
SWM-B-8,Scarth Wood Moor,Bracken,5.0759,25,,5,19,3.81,06/12/2024
SWM-B-9,Scarth Wood Moor,Bracken,5.0170,25,,5,19,3.49,06/12/2024
SWM-B-10,Scarth Wood Moor,Bracken,5.0197,25,,5,19,3.64,06/12/2024
SWM-H-1,Scarth Wood Moor,Heath,0.9266,25,,27,19,3.98,06/12/2024
SWM-H-2,Scarth Wood Moor,Heath,5.0846,25,,5,19,3.52,06/12/2024
SWM-H-3,Scarth Wood Moor,Heath,5.0833,25,,5,19,3.51,06/12/2024
SWM-H-4,Scarth Wood Moor,Heath,5.0123,25,,5,19,3.49,06/12/2024
SWM-H-5,Scarth Wood Moor,Heath,5.0273,25,,5,19,3.70,06/12/2024
SWM-H-6,Scarth Wood Moor,Heath,5.0390,25,,5,19,3.41,06/12/2024
SWM-H-7,Scarth Wood Moor,Heath,4.9465,25,,5,19,3.64,06/12/2024
SWM-H-8,Scarth Wood Moor,Heath,5.0408,25,,5,19,3.53,06/12/2024
SWM-H-9,Scarth Wood Moor,Heath,4.9451,25,,5,19,3.70,06/12/2024
SWM-H-10,Scarth Wood Moor,Heath,4.9961,25,,5,19,3.55,06/12/2024
