Wavelength (nm),BRI-B-1,BRI-B-2,HAW-B-1,HAW-B-2,HAW-B-3,HAW-B-4,HAW-B-5,HAW-B-6,HAW-B-7,HAW-B-8,HAW-B-9,HAW-B-10,BHM-H-6,BHM-H-7,BHM-H-8,BHM-H-9,BHM-H-10,WDY-B-1,WDY-B-2,WDY-B-3,WDY-B-4,WDY-B-5,WDY-B-6,WDY-B-7,WDY-B-8,WDY-B-9,WDY-B-10,WDY-H-1,WDY-H-2,WDY-H-3,WDY-H-4,WDY-H-5,WDY-H-6,WDY-H-7,WDY-H-8,WDY-H-9,WDY-H-10,SWM-B-10,SWM-B-1,SWM-B-2,SWM-B-3,SWM-B-4,SWM-B-5,SWM-B-6,SWM-B-7,SWM-B-8,SWM-B-9,SWM-H-1,SWM-H-2,SWM-H-3,SWM-H-4,SWM-H-5,SWM-H-6,SWM-H-7,SWM-H-8,SWM-H-9,SWM-H-10,BHM-B-1,BHM-B-2,BHM-B-3,BHM-B-4,BHM-B-5,BHM-B-6,BHM-B-7,BHM-B-8,BHM-B-9,BHM-B-10,BHM-H-1,BHM-H-2,BHM-H-3,BHM-H-4,BHM-H-5,BRI-B-6,BRI-B-7,BRI-B-8,BRI-B-9,BRI-B-10,BRI-H-1,BRI-H-2,BRI-H-3,BRI-H-4,BRI-H-5,BRI-H-6,BRI-H-7,BRI-H-8,BRI-H-9,BRI-H-10,BRI-B-3,BRI-B-4,BRI-B-5,HAW-H-1,HAW-H-2,HAW-H-3,HAW-H-4,HAW-H-5,HAW-H-6,HAW-H-7,HAW-H-8,HAW-H-9,HAW-H-10,WHI-B-1,WHI-B-2,WHI-B-3,WHI-B-4,WHI-B-5,WHI-B-6,WHI-B-7,WHI-B-8,WHI-B-9,WHI-B-10,WHI-H-1,WHI-H-2,WHI-H-3,WHI-H-4,WHI-H-5,WHI-H-6,WHI-H-7,WHI-H-8,WHI-H-9,WHI-H-10
220,0.786,2.357,0.752,1.535,1.627,1.845,1.89,1.978,2.06,0.833,1.86,1.438,0.349,-0.25,-0.21,1.91,1.45,0.747,2.367,0.571,0.321,1.706,0.817,0.115,0.523,3.209,1.309,0.348,1.925,-0.899,-0.312,0.628,0.106,1.011,2.746,3.544,-0.285,2.107,0.649,1.257,1.323,1.596,1.836,2.396,2.18,2.956,3.414,-0.16,2.779,2.32,2.769,2.133,1.948,2.618,3.477,1.874,3.291,2.33,1.948,3.019,0.33,0.96,1.551,1.786,0.296,3.678,1.826,1.656,3.09,1.4,0.253,1.425,-0.18,0.398,1.66,1.255,0.497,3.332,0.502,0.387,-0.268,-0.193,3.848,1.007,0.423,0.667,-0.095,0.984,0.865,0.772,0.709,1.857,1.492,1.295,2.206,1.937,3.339,1.269,1.459,2.111,1.266,-0.05,0.486,0.737,1.526,2.02,1.05,0.931,0.82,0.574,1.102,0.595,2.257,0.575,0.791,1.189,0.526,0.555,0.923,-0.058
221,0.855,2.829,0.817,1.66,1.683,2.126,2.055,2.286,2.769,0.873,2.016,1.508,0.456,-0.141,-0.098,2,1.546,0.822,2.527,0.649,0.384,1.771,0.887,0.191,0.608,3.081,1.347,0.438,2.176,-0.789,-0.224,0.712,0.203,1.066,2.906,2.46,-0.195,2.505,0.735,1.331,1.379,1.655,1.858,2.777,2.878,2.764,2.947,-0.056,2.291,2.507,2.511,2.282,2.115,3.401,2.99,1.891,2.736,2.851,2.056,2.526,0.41,1.044,1.587,1.902,0.394,3.119,1.948,1.757,2.799,1.623,0.356,1.523,-0.074,0.478,1.721,1.364,0.577,2.563,0.601,0.485,-0.158,-0.082,3.367,1.107,0.513,0.752,0.012,1.029,0.95,0.855,0.792,2.434,1.589,1.349,2.556,1.954,2.815,1.311,1.535,2.689,1.317,0.019,0.546,0.806,1.578,2.253,1.069,0.98,0.869,0.636,1.156,0.677,2.01,0.658,0.865,1.26,0.598,0.632,1.01,0.023
222,0.944,2.572,0.879,1.768,1.846,2.412,1.962,2.682,2.217,0.943,2.037,1.571,0.564,-0.023,0.018,2.397,1.608,0.914,2.831,0.729,0.452,1.911,0.964,0.275,0.687,2.728,1.411,0.537,2.086,-0.672,-0.123,0.797,0.313,1.112,2.852,2.802,-0.092,3.099,0.826,1.416,1.454,1.702,1.946,3.245,2.812,2.996,3.629,0.057,2.46,2.622,2.597,2.72,2.261,3.66,3.469,2.043,2.576,2.932,2.13,2.933,0.495,1.12,1.697,1.984,0.496,3.462,2.065,1.954,2.719,1.627,0.467,1.587,0.038,0.566,1.784,1.451,0.666,3.091,0.707,0.592,-0.043,0.036,3.044,1.201,0.61,0.842,0.126,1.109,1.045,0.939,0.871,2.335,1.693,1.414,2.728,1.987,3.181,1.36,1.623,2.491,1.382,0.091,0.604,0.872,1.672,2.297,1.11,1.02,0.925,0.709,1.253,0.765,2.018,0.759,0.944,1.339,0.686,0.718,1.102,0.114
223,1.043,3.235,0.938,1.849,1.858,2.218,2.218,2.7,2.338,1.008,2.158,1.607,0.66,0.084,0.124,2.255,1.712,0.992,2.972,0.812,0.514,2.02,1.023,0.355,0.773,3.079,1.496,0.623,2.21,-0.564,-0.031,0.886,0.405,1.152,2.727,2.467,0.001,3.26,0.907,1.509,1.55,1.837,2.005,3.227,3.313,3.242,3.164,0.163,2.905,2.643,2.929,2.494,2.704,3.26,3.259,2.132,2.623,2.601,2.184,3.206,0.576,1.189,1.762,2.002,0.582,3.616,2.223,2.002,2.732,1.726,0.563,1.707,0.138,0.642,1.904,1.528,0.74,2.797,0.798,0.684,0.063,0.143,3.515,1.286,0.697,0.923,0.231,1.19,1.124,1.021,0.951,2.32,1.724,1.453,2.457,1.994,3.168,1.388,1.664,2.626,1.436,0.161,0.655,0.922,1.777,2.597,1.147,1.063,0.979,0.771,1.312,0.849,2.136,0.841,1.033,1.432,0.762,0.796,1.179,0.196
224,1.113,3.29,0.993,1.928,1.896,2.236,2.338,2.662,2.595,1.055,2.324,1.652,0.753,0.182,0.223,2.281,1.741,1.058,3.151,0.882,0.575,2.092,1.085,0.429,0.846,3.132,1.534,0.706,2.329,-0.462,0.055,0.957,0.5,1.189,2.983,2.579,0.088,3.49,0.987,1.559,1.6,1.936,2.082,3.29,2.934,3,3.091,0.257,3.066,3.222,2.834,2.523,2.956,3.227,3.274,2.151,3.178,2.866,2.266,3.353,0.651,1.243,1.826,2.148,0.663,3.141,2.258,2.073,2.746,1.822,0.654,1.766,0.229,0.71,1.928,1.58,0.807,3.084,0.888,0.769,0.162,0.245,3.358,1.359,0.776,0.997,0.326,1.256,1.192,1.093,1.01,2.357,1.753,1.492,3.101,2.133,2.939,1.422,1.721,2.744,1.43,0.226,0.71,0.977,1.81,2.524,1.177,1.099,1.03,0.826,1.388,0.92,2.261,0.921,1.101,1.491,0.835,0.872,1.262,0.272
225,1.173,3.569,1.043,1.972,1.947,2.343,2.302,2.712,2.698,1.103,2.321,1.664,0.836,0.273,0.312,2.559,1.828,1.127,3.372,0.95,0.63,2.098,1.149,0.496,0.912,3.462,1.569,0.781,2.495,-0.368,0.133,1.026,0.583,1.223,3.25,3.395,0.168,3.377,1.061,1.63,1.701,1.952,2.213,3.634,3.441,3.218,3.44,0.345,3.277,2.835,3.185,2.628,2.615,3.277,3.676,2.182,3.232,2.845,2.2,3.345,0.717,1.288,1.879,2.219,0.739,3.129,2.307,2.18,2.954,1.895,0.737,1.842,0.314,0.77,1.987,1.644,0.87,3.725,0.967,0.844,0.251,0.337,3.593,1.436,0.847,1.065,0.414,1.317,1.253,1.156,1.067,2.456,1.823,1.504,2.665,2.131,2.971,1.452,1.741,2.864,1.444,0.283,0.753,1.026,1.843,2.562,1.198,1.139,1.071,0.876,1.452,0.983,2.393,0.992,1.171,1.557,0.901,0.939,1.312,0.342
226,1.237,3.502,1.085,1.993,1.964,2.473,2.243,2.843,2.645,1.147,2.413,1.67,0.906,0.353,0.391,2.477,1.918,1.183,3.499,1,0.676,2.188,1.188,0.554,0.971,3.625,1.619,0.844,2.654,-0.285,0.205,1.087,0.654,1.258,3.424,3.342,0.238,3.395,1.124,1.706,1.737,2.007,2.248,2.999,3.179,3.599,3.4,0.422,3.358,3.175,3.153,2.738,2.635,3.744,3.779,2.33,3.191,3.067,2.283,3.65,0.775,1.33,1.939,2.231,0.802,2.885,2.365,2.245,2.909,1.966,0.81,1.873,0.388,0.822,2.092,1.693,0.922,3.184,1.037,0.911,0.33,0.419,3.622,1.492,0.911,1.117,0.491,1.366,1.3,1.216,1.114,2.559,1.869,1.519,3.08,2.182,3.3,1.459,1.764,2.662,1.45,0.334,0.79,1.062,1.878,2.553,1.217,1.16,1.101,0.915,1.493,1.037,2.323,1.052,1.23,1.608,0.955,0.997,1.372,0.404
227,1.281,3.342,1.116,2.043,1.987,2.413,2.242,2.714,2.533,1.179,2.397,1.678,0.968,0.425,0.459,2.527,1.969,1.226,3.572,1.045,0.719,2.158,1.225,0.607,1.021,3.606,1.651,0.9,2.581,-0.211,0.267,1.143,0.719,1.288,3.334,3.709,0.3,3.508,1.174,1.738,1.796,2.059,2.253,3.042,3.191,3.075,3.403,0.489,2.997,3.425,3.185,2.638,2.728,3.759,3.705,2.372,3.165,3.246,2.297,3.733,0.824,1.361,1.987,2.239,0.86,3.063,2.395,2.262,2.928,2.011,0.874,1.938,0.452,0.862,2.085,1.728,0.966,3.321,1.098,0.969,0.4,0.491,3.763,1.544,0.965,1.167,0.56,1.406,1.344,1.257,1.154,2.491,1.913,1.533,2.925,2.182,3.034,1.481,1.789,2.691,1.459,0.376,0.82,1.095,1.917,2.586,1.235,1.185,1.126,0.948,1.541,1.083,2.395,1.102,1.278,1.665,1.002,1.045,1.43,0.458
228,1.321,3.589,1.146,2.069,1.992,2.41,2.107,2.798,2.511,1.21,2.351,1.656,1.023,0.489,0.52,2.519,2.008,1.273,3.617,1.089,0.753,2.182,1.258,0.652,1.062,3.132,1.67,0.949,2.553,-0.142,0.323,1.186,0.775,1.297,3.202,3.572,0.355,3.432,1.219,1.771,1.839,2.105,2.347,3.168,3.394,3.218,3.671,0.549,3.061,3.306,3.056,2.792,2.692,3.632,3.815,2.394,3.243,3.173,2.374,3.343,0.867,1.384,2.03,2.284,0.908,3.118,2.463,2.286,2.888,2.057,0.93,1.977,0.508,0.897,2.145,1.738,1.005,3.187,1.147,1.017,0.463,0.554,3.733,1.597,1.009,1.205,0.62,1.445,1.381,1.3,1.184,2.459,1.938,1.537,3.069,2.198,2.969,1.488,1.791,2.66,1.457,0.413,0.846,1.122,1.92,2.543,1.237,1.203,1.143,0.977,1.578,1.118,2.41,1.147,1.319,1.684,1.04,1.085,1.468,0.503
229,1.353,3.733,1.168,2.082,1.997,2.373,1.987,2.873,2.516,1.228,2.373,1.647,1.07,0.544,0.573,2.639,2.037,1.304,3.305,1.122,0.781,2.25,1.282,0.69,1.098,3.039,1.683,0.991,2.643,-0.083,0.37,1.222,0.822,1.313,3.307,3.339,0.402,3.564,1.26,1.8,1.871,2.122,2.401,3.084,3.444,3.005,3.661,0.598,3.337,3.079,3.152,2.716,2.772,3.762,3.652,2.44,3.157,3.144,2.303,3.493,0.903,1.404,2.037,2.303,0.953,3.618,2.439,2.324,3.198,2.079,0.976,1.989,0.557,0.925,2.139,1.762,1.032,3.342,1.19,1.058,0.517,0.61,3.568,1.621,1.045,1.24,0.67,1.466,1.409,1.325,1.206,2.512,1.939,1.532,3.071,2.182,3.091,1.489,1.804,2.74,1.455,0.445,0.866,1.139,1.943,2.565,1.239,1.21,1.158,0.999,1.603,1.152,2.392,1.182,1.351,1.716,1.07,1.121,1.493,0.541
