Sample ID,Method,Dilut. Factor,NPOC vol. [ml],NPOCArea,NPOC [mg/l],TNbArea,TNb [mg/l],Coefficients,Date Time
WHI-B-1,NPOC/TNb - precise,1,0.25,161102,393.549,6423,27.027,Jake 16.01.25,16.01.2025 19:09
WHI-B-1,NPOC/TNb - precise,1,0.25,159038,388.511,6419,27.002,Jake 16.01.25,16.01.2025 19:14
WHI-B-1,NPOC/TNb - precise,1,0.25,159955,390.75,6470,27.334,Jake 16.01.25,16.01.2025 19:19
WHI-B-2,NPOC/TNb - precise,1,0.25,125708,307.148,4637,16.849,Jake 16.01.25,16.01.2025 19:30
WHI-B-2,NPOC/TNb - precise,1,0.25,125251,306.033,4535,16.347,Jake 16.01.25,16.01.2025 19:35
WHI-B-2,NPOC/TNb - precise,1,0.25,125149,305.782,4478,16.069,Jake 16.01.25,16.01.2025 19:40
WHI-B-3,NPOC/TNb - precise,1,0.25,172532,421.452,5640,22.257,Jake 16.01.25,16.01.2025 19:52
WHI-B-3,NPOC/TNb - precise,1,0.25,173124,422.897,5732,22.791,Jake 16.01.25,16.01.2025 19:56
WHI-B-3,NPOC/TNb - precise,1,0.25,173245,423.194,5598,22.017,Jake 16.01.25,16.01.2025 20:02
WHI-B-4,NPOC/TNb - precise,1,0.25,130078,317.816,4155,14.537,Jake 16.01.25,16.01.2025 20:13
WHI-B-4,NPOC/TNb - precise,1,0.25,131272,320.729,4165,14.583,Jake 16.01.25,16.01.2025 20:17
WHI-B-4,NPOC/TNb - precise,1,0.25,131019,320.113,4232,14.895,Jake 16.01.25,16.01.2025 20:22
WHI-B-5,NPOC/TNb - precise,1,0.25,192808,470.949,5535,21.653,Jake 16.01.25,16.01.2025 20:34
WHI-B-5,NPOC/TNb - precise,1,0.25,192723,470.743,5587,21.954,Jake 16.01.25,16.01.2025 20:39
WHI-B-5,NPOC/TNb - precise,1,0.25,193407,472.411,5520,21.569,Jake 16.01.25,16.01.2025 20:44
WHI-B-6,NPOC/TNb - precise,1,0.25,146495,357.892,6732,29.047,Jake 16.01.25,16.01.2025 20:56
WHI-B-6,NPOC/TNb - precise,1,0.25,146355,357.55,6658,28.557,Jake 16.01.25,16.01.2025 21:01
WHI-B-6,NPOC/TNb - precise,1,0.25,146420,357.71,6551,27.859,Jake 16.01.25,16.01.2025 21:07
WHI-B-7,NPOC/TNb - precise,1,0.25,205479,501.882,7628,35.318,Jake 16.01.25,16.01.2025 21:20
WHI-B-7,NPOC/TNb - precise,1,0.25,205666,502.337,7519,34.523,Jake 16.01.25,16.01.2025 21:25
WHI-B-7,NPOC/TNb - precise,1,0.25,206586,504.583,7486,34.282,Jake 16.01.25,16.01.2025 21:31
WHI-B-8,NPOC/TNb - precise,1,0.25,128929,315.012,5496,21.432,Jake 16.01.25,16.01.2025 21:43
