Sample ID,Site,Vegetation,Method,NPOC [mg/l],TNb [mg/l],Year-Month-Date
WHI-B-1,Whiteside,Bracken,NPOC/TNb - precise,393.549,27.027,16/01/2025
WHI-B-1,Whiteside,Bracken,NPOC/TNb - precise,388.511,27.002,16/01/2025
WHI-B-1,Whiteside,Bracken,NPOC/TNb - precise,390.75,27.334,16/01/2025
WHI-B-2,Whiteside,Bracken,NPOC/TNb - precise,307.148,16.849,16/01/2025
WHI-B-2,Whiteside,Bracken,NPOC/TNb - precise,306.033,16.347,16/01/2025
WHI-B-2,Whiteside,Bracken,NPOC/TNb - precise,305.782,16.069,16/01/2025
WHI-B-3,Whiteside,Bracken,NPOC/TNb - precise,421.452,22.257,16/01/2025
WHI-B-3,Whiteside,Bracken,NPOC/TNb - precise,422.897,22.791,16/01/2025
WHI-B-3,Whiteside,Bracken,NPOC/TNb - precise,423.194,22.017,16/01/2025
WHI-B-4,Whiteside,Bracken,NPOC/TNb - precise,317.816,14.537,16/01/2025
WHI-B-4,Whiteside,Bracken,NPOC/TNb - precise,320.729,14.583,16/01/2025
WHI-B-4,Whiteside,Bracken,NPOC/TNb - precise,320.113,14.895,16/01/2025
WHI-B-5,Whiteside,Bracken,NPOC/TNb - precise,470.949,21.653,16/01/2025
WHI-B-5,Whiteside,Bracken,NPOC/TNb - precise,470.743,21.954,16/01/2025
WHI-B-5,Whiteside,Bracken,NPOC/TNb - precise,472.411,21.569,16/01/2025
WHI-B-6,Whiteside,Bracken,NPOC/TNb - precise,357.892,29.047,16/01/2025
WHI-B-6,Whiteside,Bracken,NPOC/TNb - precise,357.55,28.557,16/01/2025
WHI-B-6,Whiteside,Bracken,NPOC/TNb - precise,357.71,27.859,16/01/2025
WHI-B-7,Whiteside,Bracken,NPOC/TNb - precise,501.882,35.318,16/01/2025
WHI-B-7,Whiteside,Bracken,NPOC/TNb - precise,502.337,34.523,16/01/2025
WHI-B-7,Whiteside,Bracken,NPOC/TNb - precise,504.583,34.282,16/01/2025
WHI-B-8,Whiteside,Bracken,NPOC/TNb - precise,315.012,21.432,16/01/2025
WHI-B-8,Whiteside,Bracken,NPOC/TNb - precise,316.658,19.843,16/01/2025
WHI-B-8,Whiteside,Bracken,NPOC/TNb - precise,316.784,20.662,16/01/2025
WHI-B-9,Whiteside,Bracken,NPOC/TNb - precise,331.833,21.751,16/01/2025
WHI-B-9,Whiteside,Bracken,NPOC/TNb - precise,328.128,22.471,16/01/2025
WHI-B-9,Whiteside,Bracken,NPOC/TNb - precise,327.85,21.345,16/01/2025
WHI-B-10,Whiteside,Bracken,NPOC/TNb - precise,354.008,20.399,16/01/2025
WHI-B-10,Whiteside,Bracken,NPOC/TNb - precise,355.135,20.237,16/01/2025
WHI-B-10,Whiteside,Bracken,NPOC/TNb - precise,356.203,19.649,16/01/2025
WHI-H-1,Whiteside,Heather,NPOC/TNb - precise,416.062,11.676,16/01/2025
WHI-H-1,Whiteside,Heather,NPOC/TNb - precise,417.751,11.378,16/01/2025
WHI-H-1,Whiteside,Heather,NPOC/TNb - precise,417.575,11.401,16/01/2025
WHI-H-2,Whiteside,Heather,NPOC/TNb - precise,410.653,14.431,17/01/2025
WHI-H-2,Whiteside,Heather,NPOC/TNb - precise,413.389,14.288,17/01/2025
WHI-H-2,Whiteside,Heather,NPOC/TNb - precise,414.894,14.674,17/01/2025
WHI-H-3,Whiteside,Heather,NPOC/TNb - precise,732.811,13.842,17/01/2025
WHI-H-3,Whiteside,Heather,NPOC/TNb - precise,734.86,13.591,17/01/2025
WHI-H-3,Whiteside,Heather,NPOC/TNb - precise,739.234,13.637,17/01/2025
WHI-H-4,Whiteside,Heather,NPOC/TNb - precise,324.022,8.282,17/01/2025
WHI-H-4,Whiteside,Heather,NPOC/TNb - precise,323.971,8.283,17/01/2025
WHI-H-4,Whiteside,Heather,NPOC/TNb - precise,321.924,8.303,17/01/2025
WHI-H-5,Whiteside,Heather,NPOC/TNb - precise,462.825,9.936,17/01/2025
WHI-H-5,Whiteside,Heather,NPOC/TNb - precise,462.996,10.075,17/01/2025
WHI-H-5,Whiteside,Heather,NPOC/TNb - precise,465.653,10.122,17/01/2025
WHI-H-6,Whiteside,Heather,NPOC/TNb - precise,438.871,11.666,17/01/2025
WHI-H-6,Whiteside,Heather,NPOC/TNb - precise,439.139,11.26,17/01/2025
WHI-H-6,Whiteside,Heather,NPOC/TNb - precise,441.732,11.468,17/01/2025
WHI-H-7,Whiteside,Heather,NPOC/TNb - precise,374.672,13.786,17/01/2025
WHI-H-7,Whiteside,Heather,NPOC/TNb - precise,378.104,14.06,17/01/2025
WHI-H-7,Whiteside,Heather,NPOC/TNb - precise,379.753,14.089,17/01/2025
WHI-H-8,Whiteside,Heather,NPOC/TNb - precise,311.523,9.346,17/01/2025
WHI-H-8,Whiteside,Heather,NPOC/TNb - precise,313.365,9.296,17/01/2025
WHI-H-8,Whiteside,Heather,NPOC/TNb - precise,313.392,9.164,17/01/2025
WHI-H-9,Whiteside,Heather,NPOC/TNb - precise,451.838,10.236,17/01/2025
WHI-H-9,Whiteside,Heather,NPOC/TNb - precise,462.227,10.205,17/01/2025
WHI-H-9,Whiteside,Heather,NPOC/TNb - precise,459.722,10.158,17/01/2025
WHI-H-10,Whiteside,Heather,NPOC/TNb - precise,322.365,12.454,17/01/2025
WHI-H-10,Whiteside,Heather,NPOC/TNb - precise,325.11,12.397,17/01/2025
WHI-H-10,Whiteside,Heather,NPOC/TNb - precise,321.731,12.121,17/01/2025
HAW-B-1,Haweswater,Bracken,NPOC/TNb - precise,298.734,17.454,17/01/2025
HAW-B-1,Haweswater,Bracken,NPOC/TNb - precise,304.756,17.922,17/01/2025
HAW-B-1,Haweswater,Bracken,NPOC/TNb - precise,301.067,17.769,17/01/2025
HAW-B-2,Haweswater,Bracken,NPOC/TNb - precise,315.691,20.872,17/01/2025
HAW-B-2,Haweswater,Bracken,NPOC/TNb - precise,317.417,21.373,17/01/2025
HAW-B-2,Haweswater,Bracken,NPOC/TNb - precise,314.751,20.222,17/01/2025
HAW-B-3,Haweswater,Bracken,NPOC/TNb - precise,496.948,25.073,17/01/2025
HAW-B-3,Haweswater,Bracken,NPOC/TNb - precise,497.313,26.477,17/01/2025
HAW-B-3,Haweswater,Bracken,NPOC/TNb - precise,497.783,25.768,17/01/2025
HAW-B-4,Haweswater,Bracken,NPOC/TNb - precise,818.542,54.945,17/01/2025
HAW-B-4,Haweswater,Bracken,NPOC/TNb - precise,819.132,54.351,17/01/2025
HAW-B-4,Haweswater,Bracken,NPOC/TNb - precise,820.361,54.14,17/01/2025
HAW-B-5,Haweswater,Bracken,NPOC/TNb - precise,665.196,74.051,17/01/2025
HAW-B-5,Haweswater,Bracken,NPOC/TNb - precise,664.693,75.772,17/01/2025
HAW-B-5,Haweswater,Bracken,NPOC/TNb - precise,669.788,71.855,17/01/2025
HAW-B-6,Haweswater,Bracken,NPOC/TNb - precise,589.689,38.103,17/01/2025
HAW-B-6,Haweswater,Bracken,NPOC/TNb - precise,592.979,38.375,17/01/2025
HAW-B-6,Haweswater,Bracken,NPOC/TNb - precise,595.393,39.488,17/01/2025
HAW-B-7,Haweswater,Bracken,NPOC/TNb - precise,477.582,44.649,17/01/2025
HAW-B-7,Haweswater,Bracken,NPOC/TNb - precise,482.818,45.545,17/01/2025
HAW-B-7,Haweswater,Bracken,NPOC/TNb - precise,483.023,45.534,17/01/2025
HAW-B-8,Haweswater,Bracken,NPOC/TNb - precise,316.24,17.209,17/01/2025
HAW-B-8,Haweswater,Bracken,NPOC/TNb - precise,318.307,16.653,17/01/2025
HAW-B-8,Haweswater,Bracken,NPOC/TNb - precise,312.717,16.743,17/01/2025
HAW-B-9,Haweswater,Bracken,NPOC/TNb - precise,552.562,27.298,17/01/2025
HAW-B-9,Haweswater,Bracken,NPOC/TNb - precise,558.258,28.429,17/01/2025
HAW-B-9,Haweswater,Bracken,NPOC/TNb - precise,555.752,27.597,17/01/2025
HAW-B-10,Haweswater,Bracken,NPOC/TNb - precise,361.9,18.627,17/01/2025
HAW-B-10,Haweswater,Bracken,NPOC/TNb - precise,366.73,19.07,17/01/2025
HAW-B-10,Haweswater,Bracken,NPOC/TNb - precise,363.979,18.478,17/01/2025
HAW-H-1,Haweswater,Heather,NPOC/TNb - precise,256.777,12.756,17/01/2025
HAW-H-1,Haweswater,Heather,NPOC/TNb - precise,256.981,12.914,17/01/2025
HAW-H-1,Haweswater,Heather,NPOC/TNb - precise,257.8,12.82,17/01/2025
HAW-H-2,Haweswater,Heather,NPOC/TNb - precise,337.55,9.136,17/01/2025
HAW-H-2,Haweswater,Heather,NPOC/TNb - precise,338.057,9.33,17/01/2025
HAW-H-2,Haweswater,Heather,NPOC/TNb - precise,340.057,11.58,17/01/2025
HAW-H-3,Haweswater,Heather,NPOC/TNb - precise,620.342,17.554,17/01/2025
HAW-H-3,Haweswater,Heather,NPOC/TNb - precise,618.152,17.785,17/01/2025
HAW-H-3,Haweswater,Heather,NPOC/TNb - precise,620.251,17.472,17/01/2025
HAW-H-4,Haweswater,Heather,NPOC/TNb - precise,593.594,20.218,17/01/2025
HAW-H-4,Haweswater,Heather,NPOC/TNb - precise,593.954,20.799,17/01/2025
HAW-H-4,Haweswater,Heather,NPOC/TNb - precise,596.611,20.409,17/01/2025
HAW-H-5,Haweswater,Heather,NPOC/TNb - precise,631.502,27.463,17/01/2025
HAW-H-5,Haweswater,Heather,NPOC/TNb - precise,632.917,27.766,17/01/2025
HAW-H-5,Haweswater,Heather,NPOC/TNb - precise,633.547,27.591,17/01/2025
HAW-H-6,Haweswater,Heather,NPOC/TNb - precise,377.686,14.574,17/01/2025
HAW-H-6,Haweswater,Heather,NPOC/TNb - precise,381.925,14.532,17/01/2025
HAW-H-6,Haweswater,Heather,NPOC/TNb - precise,381.392,14.988,17/01/2025
HAW-H-7,Haweswater,Heather,NPOC/TNb - precise,769.64,27.844,17/01/2025
HAW-H-7,Haweswater,Heather,NPOC/TNb - precise,769.095,28.134,17/01/2025
HAW-H-7,Haweswater,Heather,NPOC/TNb - precise,758.994,27.997,17/01/2025
HAW-H-8,Haweswater,Heather,NPOC/TNb - precise,1012.647,29.293,17/01/2025
HAW-H-8,Haweswater,Heather,NPOC/TNb - precise,1014.64,29.494,17/01/2025
HAW-H-8,Haweswater,Heather,NPOC/TNb - precise,1010.858,30.346,17/01/2025
HAW-H-9,Haweswater,Heather,NPOC/TNb - precise,845.32,27.831,17/01/2025
HAW-H-9,Haweswater,Heather,NPOC/TNb - precise,846.92,26.844,17/01/2025
HAW-H-9,Haweswater,Heather,NPOC/TNb - precise,846.005,27.029,17/01/2025
HAW-H-10,Haweswater,Heather,NPOC/TNb - precise,858.264,40.93,17/01/2025
HAW-H-10,Haweswater,Heather,NPOC/TNb - precise,860.138,39.69,17/01/2025
HAW-H-10,Haweswater,Heather,NPOC/TNb - precise,859.567,39.587,17/01/2025
WDY-B-1,Widdybanks,Bracken,NPOC/TNb - precise,201.418,12.623,18/01/2025
WDY-B-1,Widdybanks,Bracken,NPOC/TNb - precise,202.139,12.735,18/01/2025
WDY-B-1,Widdybanks,Bracken,NPOC/TNb - precise,203.229,12.969,18/01/2025
WDY-B-2,Widdybanks,Bracken,NPOC/TNb - precise,258.027,11.107,18/01/2025
WDY-B-2,Widdybanks,Bracken,NPOC/TNb - precise,257.823,10.974,18/01/2025
WDY-B-2,Widdybanks,Bracken,NPOC/TNb - precise,255.077,11.16,18/01/2025
WDY-B-3,Widdybanks,Bracken,NPOC/TNb - precise,201.914,15.249,18/01/2025
WDY-B-3,Widdybanks,Bracken,NPOC/TNb - precise,204.092,15.329,18/01/2025
WDY-B-3,Widdybanks,Bracken,NPOC/TNb - precise,202.856,16.686,18/01/2025
WDY-B-4,Widdybanks,Bracken,NPOC/TNb - precise,295.567,18.906,18/01/2025
WDY-B-4,Widdybanks,Bracken,NPOC/TNb - precise,296.494,19.672,18/01/2025
WDY-B-4,Widdybanks,Bracken,NPOC/TNb - precise,296.581,19.224,18/01/2025
WDY-B-5,Widdybanks,Bracken,NPOC/TNb - precise,344.162,15.784,18/01/2025
WDY-B-5,Widdybanks,Bracken,NPOC/TNb - precise,348.348,17.039,18/01/2025
WDY-B-5,Widdybanks,Bracken,NPOC/TNb - precise,349.244,16.641,18/01/2025
WDY-B-6,Widdybanks,Bracken,NPOC/TNb - precise,226.215,19.667,18/01/2025
