"","Sample ID","Date Sampled","OS Conference","Vegetation","Altitude (m)","Pteridium aquilinium","Calunna vulgaris","Vaccinium vitis-idaea","Vaccinium mytrilus","Grass","Empetrum nigrum","Cladonia arbuscula","Moss","Galium saxatile","Erica cinaerea","Oxalis stricta","Fern","Tormentil","Thistle","Unknown3","LatitudeN","LongitudeE","Site","Veg. richness","Veg. shannon","Veg. simpson","Veg. evenness","Soil Moisture (% fresh soil mass)","pH","NPOC (mg C g-1)","TNb (mg N g-1)","Drift Corr C (g per kg)","Drift Corr N (g per kg)","CN ratio","alpha","SUVA (L mg-1 cm-1)"
"1","BHM-B-1","15/08/2024","SE2075865137","Bracken",290,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,54.081737,-1.6842036,"Brimham Moor",2,0.693147180559945,0.5,1,29.66299633,3.7,0.471030998805402,0.0489481463483772,68.51454482,3.459881357,19.80257059,0.00899985773456745,0.0315834721401322
"2","BHM-B-10","16/08/2024","SE2140564575","Bracken",242,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54.07666,-1.6743538,"Brimham Moor",2,0.0555460752688918,0.0196059209881385,0.0801360473312753,47.16272908,3.58,1.01351089460615,0.0605978493092643,151.1704644,6.630393636,22.79962136,0.00924929572494505,0.0102374976318677
"3","BHM-B-2","15/08/2024","SE2074165210","Bracken",292,80,0,0,5,15,0,0,0,0,0,0,0,0,0,0,54.082394,-1.6844585,"Brimham Moor",3,0.612869452461949,0.335,0.557857816432178,47.03592534,3.42,2.18336852994,0.123973711218126,349.7979506,16.79043328,20.83316998,0.0117388504614931,0.00425303365710025
"4","BHM-B-3","15/08/2024","SE2087365098","Bracken",290,95,0,0,5,0,0,0,0,0,0,0,0,0,0,0,54.081382,-1.6824485,"Brimham Moor",2,0.198515243345873,0.0950000000000001,0.286396957115956,18.58066391,3.62,0.851788972056885,0.0449456717133384,73.69843218,3.333704651,22.10706703,0.00635288456521294,0.0226693606965402
"5","BHM-B-4","15/08/2024","SE2097365078","Bracken",286,90,0,0,0,10,0,0,0,0,0,0,0,0,0,0,54.081198,-1.6809214,"Brimham Moor",2,0.325082973391448,0.18,0.468995593589281,11.78499058,3.79,0.667447089848096,0.0421310436446935,86.18572177,3.379429357,25.50303991,0.00809522280495592,0.00681861228440719
"6","BHM-B-5","15/08/2024","SE2093665022","Bracken",283,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.080697,-1.6814908,"Brimham Moor",1,0,0,NA,60.06018917,3.19,1.84790916147523,0.103536811098063,417.2342584,15.62580535,26.70161627,0.0113750400120309,0.0032473652181874
"7","BHM-B-6","16/08/2024","SE2096564461","Bracken",259,66,0,0,14,20,0,0,0,0,0,0,0,0,0,0,54.075653,-1.6810862,"Brimham Moor",3,0.871383575393716,0.5048,0.793167511761705,20.9760844,3.75,0.886323367683598,0.0516475907295019,137.029667,5.561522277,24.63887766,0.00892084832991016,0.0105468144139797
"8","BHM-B-7","16/08/2024","SE2105964478","Bracken",257,84,15,0,1,0,0,0,10,0,0,0,0,0,0,0,54.075802,-1.6796484,"Brimham Moor",4,0.738342047162308,0.389917355371901,0.532601204960433,18.33817929,4.4,0.983916135160605,0.0415363382373581,114.4859724,4.612844657,24.81895249,0.0103696375484577,0.00987837558033603
"9","BHM-B-8","16/08/2024","SE2111664494","Bracken",251,50,0,0,50,0,0,0,15,0,0,0,0,0,0,0,54.075944,-1.6787762,"Brimham Moor",3,0.989949053934139,0.604914933837429,0.90109046125298,51.92493516,3.73,0.468789194870307,0.0245610172674326,108.8858511,4.652857066,23.40193338,0.00764355158217543,0.0103852763184528
"10","BHM-B-9","16/08/2024","SE2131764512","Bracken",236,82,0,0,18,1,0,0,5,0,0,0,0,0,0,0,54.076097,-1.6757031,"Brimham Moor",4,0.687732872602914,0.370416518333927,0.496094402380273,51.54725984,3.65,1.45501405637941,0.0486399792149652,107.6567404,5.146114075,20.9200066,0.00825016052960089,0.0119260058825263
