"","Sample ID","Site","Vegetation","Mesostigmata","Oribatida","Astigmatina","Prostigmata","Symphypleona","Entomobryomorpha","Poduromorpha","Neelidae","Araneae","Enchytraeidae","Thysanoptera","Diptera","Stigmus","Chilopoda","Diplopoda","Staphylinidae","Tingidae","Lasius flavus","Coleoptera","Diplura","Parasitoid Wasp","Pseudoscorpiones","Oniscidea","Unknown","Total Mesofauna Catch","Total Invertebrate Catch","Percentage Mites","Percentage Collembola","Percentage Other","CoreVolume","1000s Individuals per m2 to 10 cm depth","Dry soil mass (g)","Individuals per 100g dry soil","Mesostigmata per 100 g dry soil mass","Oribatida per 100 g dry soil mass","Astigmatina per 100 g dry soil mass","Prostigmata per 100 g dry soil mass","Entomobryomorpha per 100 g dry soil mass","Poduromorpha per 100 g dry soil mass","Symphypleona per 100 g dry soil mass","Neelidae per 100 g dry soil mass"
"BHM-B-1","BHM-B-1","Brimham Moor","Bracken",14,335,180,36,0,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,575,98.2608695652174,1.21739130434783,0.521739130434781,0.000196349540849362,291.317207835405,135.6,421.828908554572,10.3244837758112,247.050147492625,132.743362831858,26.5486725663717,2.94985250737463,2.21238938053097,0,0
"BHM-B-10","BHM-B-10","Brimham Moor","Bracken",24,127,142,40,0,14,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,353,355,93.8028169014084,5.63380281690141,0.563380281690144,0.000196349540849362,179.781423716605,53.4,661.048689138577,44.9438202247191,237.827715355805,265.917602996255,74.9063670411985,26.2172284644195,11.2359550561798,0,0
"BHM-B-2","BHM-B-2","Brimham Moor","Bracken",36,207,92,61,0,21,9,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,8,428,439,90.2050113895216,7.28929384965831,2.50569476082003,0.000196349540849362,217.97861005866,70.7,605.374823196605,50.9193776520509,292.786421499293,130.12729844413,86.2800565770863,29.7029702970297,12.7298444130127,0,2.82885431400283
"BHM-B-3","BHM-B-3","Brimham Moor","Bracken",3,95,15,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,120,98.3333333333333,0,1.66666666666667,0.000196349540849362,60.0969065114997,184.2,64.0608034744843,1.62866449511401,51.5743756786102,8.14332247557003,2.71444082519001,0,0,0,0
"BHM-B-4","BHM-B-4","Brimham Moor","Bracken",2,27,4,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,43,93.0232558139535,4.65116279069767,2.32558139534885,0.000196349540849362,21.3904243515507,196.2,21.4067278287462,1.01936799184506,13.7614678899083,2.03873598369011,3.5677879714577,0,0.509683995922528,0,0.509683995922528
"BHM-B-5","BHM-B-5","Brimham Moor","Bracken",9,144,48,25,0,11,2,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,239,246,91.869918699187,5.28455284552846,2.84552845528455,0.000196349540849362,121.721700476682,52.1,458.73320537428,17.2744721689059,276.391554702495,92.1305182341651,47.9846449136276,21.1132437619962,3.83877159309021,0,0
"BHM-B-6","BHM-B-6","Brimham Moor","Bracken",16,189,37,26,1,10,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,279,284,94.3661971830986,3.87323943661972,1.7605633802817,0.000196349540849362,142.093533192444,147.5,189.152542372881,10.8474576271186,128.135593220339,25.0847457627119,17.6271186440678,6.77966101694915,0,0.677966101694915,0
"BHM-B-7","BHM-B-7","Brimham Moor","Bracken",32,261,469,23,0,16,6,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,4,808,816,96.2009803921569,2.81862745098039,0.980392156862749,0.000196349540849362,411.511020858404,111.3,725.96585804133,28.7511230907457,234.501347708895,421.383647798742,20.6648697214735,14.3755615453729,5.39083557951483,0,0.898472596585804
"BHM-B-8","BHM-B-8","Brimham Moor","Bracken",9,196,66,19,1,8,6,1,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,1,306,314,92.3566878980892,5.09554140127389,2.54777070063693,0.000196349540849362,155.844520275584,145.9,209.732693625771,6.16860863605209,134.338588074023,45.2364633310487,13.0226182316655,5.48320767649075,4.11240575736806,0.685400959561343,0.685400959561343
"BHM-B-9","BHM-B-9","Brimham Moor","Bracken",23,283,134,30,0,4,8,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,5,482,497,94.5674044265593,2.41448692152917,3.01810865191148,0.000196349540849362,245.480584224939,141.7,340.15525758645,16.2314749470713,199.717713479181,94.5659844742414,21.1714890613973,2.82286520818631,5.64573041637262,0,0
