"Sample ID","Wavelength (nm)","Absorbance"
"WHI-B-1",220,1.266
"WHI-B-1",221,1.317
"WHI-B-1",222,1.382
"WHI-B-1",223,1.436
"WHI-B-1",224,1.43
"WHI-B-1",225,1.444
"WHI-B-1",226,1.45
"WHI-B-1",227,1.459
"WHI-B-1",228,1.457
"WHI-B-1",229,1.455
"WHI-B-1",230,1.452
"WHI-B-1",231,1.446
"WHI-B-1",232,1.436
"WHI-B-1",233,1.427
"WHI-B-1",234,1.418
"WHI-B-1",235,1.41
"WHI-B-1",236,1.396
"WHI-B-1",237,1.386
"WHI-B-1",238,1.378
"WHI-B-1",239,1.37
"WHI-B-1",240,1.362
"WHI-B-1",241,1.356
"WHI-B-1",242,1.349
"WHI-B-1",243,1.342
"WHI-B-1",244,1.338
"WHI-B-1",245,1.335
"WHI-B-1",246,1.333
"WHI-B-1",247,1.329
"WHI-B-1",248,1.328
"WHI-B-1",249,1.326
"WHI-B-1",250,1.324
"WHI-B-1",251,1.323
"WHI-B-1",252,1.321
"WHI-B-1",253,1.321
"WHI-B-1",254,1.319
"WHI-B-1",255,1.314
"WHI-B-1",256,1.312
"WHI-B-1",257,1.305
"WHI-B-1",258,1.301
"WHI-B-1",259,1.293
"WHI-B-1",260,1.285
"WHI-B-1",261,1.277
"WHI-B-1",262,1.267
"WHI-B-1",263,1.257
"WHI-B-1",264,1.244
"WHI-B-1",265,1.228
"WHI-B-1",266,1.212
"WHI-B-1",267,1.194
"WHI-B-1",268,1.176
"WHI-B-1",269,1.157
"WHI-B-1",270,1.132
"WHI-B-1",271,1.11
"WHI-B-1",272,1.084
"WHI-B-1",273,1.059
"WHI-B-1",274,1.034
"WHI-B-1",275,1.007
"WHI-B-1",276,0.979
"WHI-B-1",277,0.952
"WHI-B-1",278,0.925
"WHI-B-1",279,0.896
"WHI-B-1",280,0.869
"WHI-B-1",281,0.841
"WHI-B-1",282,0.814
"WHI-B-1",283,0.789
"WHI-B-1",284,0.764
"WHI-B-1",285,0.74
"WHI-B-1",286,0.717
"WHI-B-1",287,0.695
"WHI-B-1",288,0.674
"WHI-B-1",289,0.655
"WHI-B-1",290,0.639
"WHI-B-1",291,0.622
"WHI-B-1",292,0.607
"WHI-B-1",293,0.593
"WHI-B-1",294,0.58
"WHI-B-1",295,0.568
"WHI-B-1",296,0.556
"WHI-B-1",297,0.546
"WHI-B-1",298,0.536
"WHI-B-1",299,0.526
"WHI-B-1",300,0.517
"WHI-B-1",301,0.508
"WHI-B-1",302,0.5
"WHI-B-1",303,0.492
"WHI-B-1",304,0.485
"WHI-B-1",305,0.478
"WHI-B-1",306,0.47
"WHI-B-1",307,0.463
"WHI-B-1",308,0.455
"WHI-B-1",309,0.449
"WHI-B-1",310,0.443
"WHI-B-1",311,0.435
"WHI-B-1",312,0.43
"WHI-B-1",313,0.423
"WHI-B-1",314,0.417
"WHI-B-1",315,0.411
"WHI-B-1",316,0.405
"WHI-B-1",317,0.398
"WHI-B-1",318,0.392
"WHI-B-1",319,0.386
"WHI-B-1",320,0.38
"WHI-B-1",321,0.374
"WHI-B-1",322,0.368
"WHI-B-1",323,0.362
"WHI-B-1",324,0.357
"WHI-B-1",325,0.351
"WHI-B-1",326,0.345
"WHI-B-1",327,0.339
"WHI-B-1",328,0.333
"WHI-B-1",329,0.328
"WHI-B-1",330,0.322
"WHI-B-1",331,0.316
"WHI-B-1",332,0.311
"WHI-B-1",333,0.305
"WHI-B-1",334,0.299
"WHI-B-1",335,0.295
"WHI-B-1",336,0.289
"WHI-B-1",337,0.284
"WHI-B-1",338,0.279
"WHI-B-1",339,0.273
"WHI-B-1",340,0.268
"WHI-B-1",341,0.259
"WHI-B-1",342,0.254
"WHI-B-1",343,0.249
"WHI-B-1",344,0.245
"WHI-B-1",345,0.24
"WHI-B-1",346,0.235
"WHI-B-1",347,0.23
"WHI-B-1",348,0.225
"WHI-B-1",349,0.221
"WHI-B-1",350,0.216
"WHI-B-1",351,0.212
"WHI-B-1",352,0.208
"WHI-B-1",353,0.204
"WHI-B-1",354,0.199
"WHI-B-1",355,0.195
"WHI-B-1",356,0.191
"WHI-B-1",357,0.186
"WHI-B-1",358,0.182
"WHI-B-1",359,0.179
"WHI-B-1",360,0.174
"WHI-B-1",361,0.171
"WHI-B-1",362,0.167
"WHI-B-1",363,0.164
"WHI-B-1",364,0.16
"WHI-B-1",365,0.157
"WHI-B-1",366,0.153
