Sample ID,log_alpha,y0,yf,alpha,Site,Vegetation
WHI-B-1,-4.33320612,32.5277901,-0.048410156,0.013125398,Whiteside,Bracken
WHI-B-10,-4.475487268,15.76260655,-0.0629401,0.011384673,Whiteside,Bracken
WHI-B-2,-4.683854906,5.314794054,-0.084184679,0.009243313,Whiteside,Bracken
WHI-B-3,-4.527901174,12.47916607,-0.085079009,0.010803327,Whiteside,Bracken
WHI-B-4,-4.501832546,16.00812334,-0.066304636,0.011088657,Whiteside,Bracken
WHI-B-5,-4.441208921,30.96037887,-0.082839863,0.011781687,Whiteside,Bracken
WHI-B-6,-4.398871247,43.59952893,-0.085605857,0.012291206,Whiteside,Bracken
WHI-B-7,-4.439118152,20.78511206,-0.069019342,0.011806345,Whiteside,Bracken
WHI-B-8,-4.497659595,17.53192365,-0.080373779,0.011135027,Whiteside,Bracken
WHI-B-9,-4.472677804,17.61154218,-0.046764579,0.011416703,Whiteside,Bracken
WHI-H-1,-4.566605193,19.01735097,-0.065960943,0.010393183,Whiteside,Heather
WHI-H-10,-4.686173366,5.813798615,-0.076391776,0.009221908,Whiteside,Heather
WHI-H-2,-4.551111858,14.48403606,-0.076349271,0.010555462,Whiteside,Heather
WHI-H-3,-4.471451353,35.9866516,-0.105371816,0.011430714,Whiteside,Heather
WHI-H-4,-4.572086751,14.12587521,-0.080755549,0.010336368,Whiteside,Heather
WHI-H-5,-4.579711117,15.61352849,-0.069340896,0.010257859,Whiteside,Heather
WHI-H-6,-4.541442688,21.72889271,-0.098936945,0.010658019,Whiteside,Heather
WHI-H-7,-4.561722063,13.27803659,-0.07143567,0.010444058,Whiteside,Heather
WHI-H-8,-4.546014608,14.19858636,-0.070636566,0.010609403,Whiteside,Heather
WHI-H-9,-4.587005613,17.31135735,-0.099957386,0.010183306,Whiteside,Heather
HAW-B-1,-4.484750926,17.0945187,-0.070328894,0.011279697,Haweswater,Bracken
HAW-B-10,-4.449642554,27.57521928,-0.094144385,0.011682742,Haweswater,Bracken
HAW-B-2,-4.498811373,28.58251854,-0.097230108,0.011122209,Haweswater,Bracken
HAW-B-3,-4.447130669,31.60705558,-0.086494464,0.011712125,Haweswater,Bracken
