Sample ID,Site,Vegetation,NPOC (mg/l),TNb (mg/l)
BHM-B-1,Brimham Moor,Bracken,93.055,9.67
BHM-B-10,Brimham Moor,Bracken,205.7143333,12.29966667
BHM-B-2,Brimham Moor,Bracken,442.5076667,25.126
BHM-B-3,Brimham Moor,Bracken,170.5826667,9.001
BHM-B-4,Brimham Moor,Bracken,131.9916667,8.331666667
BHM-B-5,Brimham Moor,Bracken,371.378,20.808
BHM-B-6,Brimham Moor,Bracken,174.081,10.144
BHM-B-7,Brimham Moor,Bracken,196.2873333,8.286333333
BHM-B-8,Brimham Moor,Bracken,93.69033333,4.908666667
BHM-B-9,Brimham Moor,Bracken,291.2123333,9.735
BHM-H-1,Brimham Moor,Heath,128.0616667,6.538666667
BHM-H-10,Brimham Moor,Heath,112.2666667,7.003
BHM-H-2,Brimham Moor,Heath,593.0933333,20.55466667
BHM-H-3,Brimham Moor,Heath,190.6533333,8.459
BHM-H-4,Brimham Moor,Heath,186.6266667,3.224666667
BHM-H-5,Brimham Moor,Heath,261.1266667,9.531666667
BHM-H-6,Brimham Moor,Heath,78.998,4.449333333
BHM-H-7,Brimham Moor,Heath,115.3963333,3.230333333
BHM-H-8,Brimham Moor,Heath,239.827,3.357666667
BHM-H-9,Brimham Moor,Heath,237.529,13.86366667
BRI-B-1,Bridestones,Bracken,334.6696667,11.60066667
BRI-B-10,Bridestones,Bracken,335.0363333,12.77233333
BRI-B-2,Bridestones,Bracken,176.3813333,5.696666667
BRI-B-3,Bridestones,Bracken,197.177,5.896666667
BRI-B-4,Bridestones,Bracken,270.8976667,10.72433333
BRI-B-5,Bridestones,Bracken,223.586,5.632
BRI-B-6,Bridestones,Bracken,99.363,1.973
BRI-B-7,Bridestones,Bracken,262.1143333,8.648
BRI-B-8,Bridestones,Bracken,173.7163333,6.149
BRI-B-9,Bridestones,Bracken,300.1533333,13.18966667
BRI-H-1,Bridestones,Heath,340.529,9.905
BRI-H-10,Bridestones,Heath,101.163,2.067666667
BRI-H-2,Bridestones,Heath,192.5263333,2.933666667
BRI-H-3,Bridestones,Heath,168.048,4.142333333
BRI-H-4,Bridestones,Heath,100.9426667,1.642333333
BRI-H-5,Bridestones,Heath,54.555,0.493666667
