Sample ID,Site,Vegetation,Datafile,Date,Time,Type,Weight (mg),N (%),C (%),Drift Corr N (%),Drift Corr C (%),Drift Corr N (mg),Drift Corr C (mg),Drift Corr N (g per kg),Drift Corr C (g per kg),CN ratio
BRI-B-1,Bridestones,Bracken,mp20250311_09,11/03/2025,11:26,UNK,5.68,1.216864347,39.1371994,1.308471587,42.02242821,0.074321186,2.386873922,13.08471587,420.2242821,32.1156597
BRI-B-2,Bridestones,Bracken,mp20250311_10,11/03/2025,11:31,UNK,11.527,0.401852757,10.95605659,0.430422227,11.73510537,0.04961477,1.352705596,4.304222275,117.3510537,27.26417137
BRI-B-3,Bridestones,Bracken,mp20250311_11,11/03/2025,11:36,UNK,5.689,0.468316376,12.89499664,0.499665371,13.77837031,0.028425963,0.783851487,4.996653715,137.7837031,27.57519551
BRI-B-4,Bridestones,Bracken,mp20250311_12,11/03/2025,11:41,UNK,6.298,1.073279858,29.48410797,1.140700308,31.42758674,0.071841305,1.979309413,11.40700308,314.2758674,27.55113374
BRI-B-5,Bridestones,Bracken,mp20250311_13,11/03/2025,11:45,UNK,6.646,0.905372441,24.44820595,0.958541786,25.99674722,0.063704687,1.72774382,9.585417859,259.9674722,27.1211413
BRI-B-6,Bridestones,Bracken,mp20250311_14,11/03/2025,11:50,UNK,6.224,0.339771926,11.34879971,0.358346286,12.03853079,0.022303473,0.749278156,3.58346286,120.3853079,33.59468553
BRI-B-7,Bridestones,Bracken,mp20250311_15,11/03/2025,11:55,UNK,9.196,0.884883165,24.4267292,0.929692544,25.84895152,0.085494526,2.377069582,9.296925444,258.4895152,27.80376338
BRI-B-8,Bridestones,Bracken,mp20250311_16,11/03/2025,12:00,UNK,9.584,0.328416109,7.994686604,0.343733757,8.439867356,0.032943443,0.808876887,3.437337569,84.39867356,24.55350162
BRI-B-9,Bridestones,Bracken,mp20250311_17,11/03/2025,12:04,UNK,6.159,1.916702032,45.19868851,1.998494525,47.6013288,0.123087278,2.931765841,19.98494525,476.013288,23.81859355
BRI-B-10,Bridestones,Bracken,mp20250311_18,11/03/2025,12:09,UNK,6.334,1.777520657,44.77934647,1.846374961,47.04706761,0.11694939,2.979961263,18.46374961,470.4706761,25.48077644
BRI-H-1,Bridestones,Heath,mp20250311_22,11/03/2025,12:28,UNK,6.432,0.472732067,11.2633152,0.484539782,11.71471187,0.031165599,0.753490267,4.845397823,117.1471187,24.1769867
BRI-H-2,Bridestones,Heath,mp20250311_23,11/03/2025,12:33,UNK,10.938,0.38179338,12.63354588,0.389075754,13.07022213,0.042557106,1.429620897,3.890757536,130.7022213,33.59300087
BRI-H-3,Bridestones,Heath,mp20250311_24,11/03/2025,12:38,UNK,5.727,1.375590324,44.11228943,1.393800848,45.39644848,0.079822975,2.599854605,13.93800848,453.9644848,32.5702546
BRI-H-4,Bridestones,Heath,mp20250311_25,11/03/2025,12:42,UNK,5.933,0.09591791,3.148207664,0.096634313,3.222865981,0.005733314,0.191212639,0.966343129,32.22865981,33.35115534
BRI-H-5,Bridestones,Heath,mp20250311_26,11/03/2025,12:47,UNK,12.046,0.103073768,4.669209957,0.103255673,4.755003172,0.012438178,0.572787682,1.032556733,47.55003172,46.05076913
BRI-H-6,Bridestones,Heath,mp20250311_27,11/03/2025,12:52,UNK,7.582,0.159280986,4.690744877,0.158663775,4.752143912,0.012029887,0.360307551,1.586637754,47.52143912,29.95103262
BRI-H-7,Bridestones,Heath,mp20250311_28,11/03/2025,12:57,UNK,11.358,0.485770106,16.49647331,0.4811788,16.62612294,0.054652288,1.888395043,4.811788002,166.2612294,34.55289995
BRI-H-8,Bridestones,Heath,mp20250311_29,11/03/2025,13:01,UNK,7.793,1.60530436,44.67140579,1.58127916,44.79124575,0.123229085,3.490581782,15.8127916,447.9124575,28.32595716
BRI-H-9,Bridestones,Heath,mp20250311_30,11/03/2025,13:06,UNK,7.857,1.421713948,43.86854553,1.392683025,43.76146398,0.109423105,3.438338225,13.92683025,437.6146398,31.422415
BRI-H-10,Bridestones,Heath,mp20250311_31,11/03/2025,13:11,UNK,6.626,0.267815202,9.761014938,0.260902059,9.687686214,0.01728737,0.641906089,2.609020594,96.87686214,37.13150535
SWM-B-1,Scarth Wood Moor,Bracken,mp20250311_35,11/03/2025,13:30,UNK,6.219,0.313939184,4.63081789,0.302488908,4.551048163,0.018811785,0.283029685,3.024889082,45.51048163,15.04533898
SWM-B-2,Scarth Wood Moor,Bracken,mp20250311_36,11/03/2025,13:34,UNK,6.339,1.803413391,43.84407806,1.737549222,43.10095515,0.110143245,2.732169547,17.37549222,431.0095515,24.8056024
SWM-B-3,Scarth Wood Moor,Bracken,mp20250311_37,11/03/2025,13:39,UNK,6.337,1.559513927,39.40277481,1.502480715,38.74583354,0.095212203,2.455323472,15.02480715,387.4583354,25.78790739
SWM-B-4,Scarth Wood Moor,Bracken,mp20250311_38,11/03/2025,13:44,UNK,6.816,1.171867251,31.90142822,1.128953212,31.3783897,0.076949451,2.138751042,11.28953212,313.783897,27.79423396
SWM-B-5,Scarth Wood Moor,Bracken,mp20250311_39,11/03/2025,13:49,UNK,8.502,0.547582686,12.92298889,0.527503246,12.71469116,0.044848326,1.081003042,5.275032458,127.1469116,24.10353161
SWM-B-6,Scarth Wood Moor,Bracken,mp20250311_40,11/03/2025,13:53,UNK,6.631,0.976277113,21.17910385,0.940429856,20.84360341,0.062359904,1.382139342,9.404298558,208.4360341,22.16391077
SWM-B-7,Scarth Wood Moor,Bracken,mp20250311_41,11/03/2025,13:58,UNK,5.901,1.889669538,41.8035965,1.820191332,41.15298098,0.10740949,2.428437407,18.20191332,411.5298098,22.60915117
SWM-B-8,Scarth Wood Moor,Bracken,mp20250311_42,11/03/2025,14:03,UNK,10.207,0.788114369,17.86780548,0.759098781,17.59467584,0.077481213,1.795888563,7.590987812,175.9467584,23.17837451
SWM-B-9,Scarth Wood Moor,Bracken,mp20250311_43,11/03/2025,14:08,UNK,9.523,0.816231966,18.62557411,0.78614118,18.34603543,0.074864225,1.747092954,7.861411802,183.4603543,23.33682027
SWM-B-10,Scarth Wood Moor,Bracken,mp20250311_44,11/03/2025,14:12,UNK,7.263,0.35175705,6.739246368,0.338772091,6.639974447,0.024605017,0.482261344,3.387720911,66.39974447,19.60012239
SWM-H-1,Scarth Wood Moor,Heath,mp20250311_48,11/03/2025,14:31,UNK,7.315,1.380928874,37.29693222,1.328498621,36.7393351,0.097179674,2.687482362,13.28498621,367.393351,27.6547785
SWM-H-2,Scarth Wood Moor,Heath,mp20250311_49,11/03/2025,14:36,UNK,6.337,0.399503112,9.596871376,0.383954318,9.445959919,0.024331185,0.59859048,3.839543181,94.45959919,24.60178066
SWM-H-3,Scarth Wood Moor,Heath,mp20250311_50,11/03/2025,14:41,UNK,7.825,0.392500162,9.331196785,0.376850659,9.17724392,0.029488564,0.718119337,3.768506588,91.7724392,24.35246882
SWM-H-4,Scarth Wood Moor,Heath,mp20250311_51,11/03/2025,14:46,UNK,5.666,0.823528945,21.87755585,0.789912165,21.49970652,0.044756423,1.218173371,7.899121649,214.9970652,27.21784456
SWM-H-5,Scarth Wood Moor,Heath,mp20250311_52,11/03/2025,14:50,UNK,6.666,0.601834834,12.34539223,0.576697597,12.12265316,0.038442662,0.808096059,5.766975968,121.2265316,21.02081442
SWM-H-6,Scarth Wood Moor,Heath,mp20250311_53,11/03/2025,14:55,UNK,7.274,1.203276515,35.06895065,1.151880923,34.40922614,0.083787818,2.50292711,11.51880923,344.0922614,29.87220767
SWM-H-7,Scarth Wood Moor,Heath,mp20250311_54,11/03/2025,15:00,UNK,6.552,0.791404843,21.20326424,0.756854862,20.78808214,0.049589131,1.362035142,7.568548616,207.8808214,27.46640498
SWM-H-8,Scarth Wood Moor,Heath,mp20250311_55,11/03/2025,15:05,UNK,7.923,0.881916702,22.69415283,0.842584755,22.23235895,0.06675799,1.7614698,8.425847548,222.3235895,26.38590222
SWM-H-9,Scarth Wood Moor,Heath,mp20250311_56,11/03/2025,15:09,UNK,8.348,0.448019087,11.69930935,0.427617175,11.45227803,0.035697482,0.95603617,4.276171754,114.5227803,26.78161376
SWM-H-10,Scarth Wood Moor,Heath,mp20250311_57,11/03/2025,15:14,UNK,8.072,0.241693705,7.095332146,0.230460745,6.940085093,0.018602791,0.560203669,2.304607447,69.40085093,30.11395759
BHM-B-1,Brimham Moor,Bracken,mp20250312_09,12/03/2025,10:55,UNK,13.627,0.351507664,6.905156136,0.345988136,6.851454482,0.047147803,0.933647702,3.459881357,68.51454482,19.80257059
BHM-B-2,Brimham Moor,Bracken,mp20250312_10,12/03/2025,10:59,UNK,7.929,1.711056948,35.27906799,1.679043328,34.97979506,0.133131345,2.77354795,16.79043328,349.7979506,20.83316998
BHM-B-3,Brimham Moor,Bracken,mp20250312_11,12/03/2025,11:04,UNK,11.38,0.340764701,7.438184261,0.333370465,7.369843218,0.037937559,0.838688158,3.333704651,73.69843218,22.10706703
BHM-B-4,Brimham Moor,Bracken,mp20250312_12,12/03/2025,11:09,UNK,9.311,0.34649086,8.704677582,0.337942936,8.618572177,0.031465867,0.802475255,3.379429357,86.18572177,25.50303991
BHM-B-5,Brimham Moor,Bracken,mp20250312_13,12/03/2025,11:14,UNK,6.948,1.606969833,42.17020798,1.562580535,41.72342584,0.108568096,2.898943627,15.62580535,417.2342584,26.70161627
BHM-B-6,Brimham Moor,Bracken,mp20250312_14,12/03/2025,11:18,UNK,7.146,0.573682904,13.85953331,0.556152228,13.7029667,0.039742638,0.979214,5.561522277,137.029667,24.63887766
BHM-B-7,Brimham Moor,Bracken,mp20250312_15,12/03/2025,11:23,UNK,7.304,0.477261096,11.58762074,0.461284466,11.44859724,0.033692217,0.836205543,4.612844657,114.4859724,24.81895249
BHM-B-8,Brimham Moor,Bracken,mp20250312_16,12/03/2025,11:28,UNK,7.177,0.482849658,11.02862167,0.465285707,10.88858511,0.033393555,0.781473753,4.652857066,108.8858511,23.40193338
BHM-B-9,Brimham Moor,Bracken,mp20250312_17,12/03/2025,11:33,UNK,7.041,0.535639703,10.91185474,0.514611408,10.76567404,0.036233789,0.758011109,5.146114075,107.6567404,20.9200066
BHM-B-10,Brimham Moor,Bracken,mp20250312_18,12/03/2025,11:37,UNK,7.807,0.692197263,15.33315849,0.663039364,15.11704644,0.051763483,1.180187815,6.630393636,151.1704644,22.79962136
BHM-H-1,Brimham Moor,Heath,mp20250312_22,12/03/2025,11:56,UNK,7.481,0.385573924,10.15070248,0.366860692,9.986229217,0.027444848,0.747069808,3.668606921,99.86229217,27.22076644
BHM-H-2,Brimham Moor,Heath,mp20250312_23,12/03/2025,12:01,UNK,7.176,1.199631929,34.77309036,1.140535537,34.18480411,0.08184483,2.453101543,11.40535537,341.8480411,29.97259007
BHM-H-3,Brimham Moor,Heath,mp20250312_24,12/03/2025,12:06,UNK,7.499,0.344491512,9.786313057,0.327270465,9.613765385,0.024542012,0.720936266,3.27270465,96.13765385,29.37559729
BHM-H-4,Brimham Moor,Heath,mp20250312_25,12/03/2025,12:10,UNK,7.528,0.287216932,5.94645977,0.272650356,5.837376725,0.020525119,0.43943772,2.726503555,58.37376725,21.40975285
BHM-H-5,Brimham Moor,Heath,mp20250312_26,12/03/2025,12:15,UNK,9.453,0.401963532,12.17355824,0.381285878,11.94158217,0.036042954,1.128837762,3.81285878,119.4158217,31.31923541
BHM-H-6,Brimham Moor,Heath,mp20250312_27,12/03/2025,12:20,UNK,6.46,0.187952071,5.465818405,0.178147387,5.357779165,0.011508321,0.346112534,1.78147387,53.57779165,30.07498036
BHM-H-7,Brimham Moor,Heath,mp20250312_28,12/03/2025,12:25,UNK,6.852,0.233792692,7.316326141,0.221427624,7.166517988,0.015172221,0.491049813,2.21427624,71.66517988,32.36505843
BHM-H-8,Brimham Moor,Heath,mp20250312_29,12/03/2025,12:29,UNK,6.184,0.266409695,8.3565979,0.252127189,8.179568161,0.015591545,0.505824495,2.521271889,81.79568161,32.44222964
