Sample ID,Site,Vegetation,SUVA (L mg-1 cm-1)
BHM-B-1,Brimham Rocks,Bracken,0.031583472
BHM-B-10,Brimham Rocks,Bracken,0.010237498
BHM-B-2,Brimham Rocks,Bracken,0.004253034
BHM-B-3,Brimham Rocks,Bracken,0.022669361
BHM-B-4,Brimham Rocks,Bracken,0.006818612
BHM-B-5,Brimham Rocks,Bracken,0.003247365
BHM-B-6,Brimham Rocks,Bracken,0.010546814
BHM-B-7,Brimham Rocks,Bracken,0.009878376
BHM-B-8,Brimham Rocks,Bracken,0.010385276
BHM-B-9,Brimham Rocks,Bracken,0.011926006
BHM-H-1,Brimham Rocks,Heath,0.016741934
BHM-H-10,Brimham Rocks,Heath,0.016683492
BHM-H-2,Brimham Rocks,Heath,0.00430455
BHM-H-3,Brimham Rocks,Heath,0.010196517
BHM-H-4,Brimham Rocks,Heath,0.005438665
BHM-H-5,Brimham Rocks,Heath,0.006916184
BHM-H-6,Brimham Rocks,Heath,0.013785159
BHM-H-7,Brimham Rocks,Heath,0.005866738
BHM-H-8,Brimham Rocks,Heath,0.002831207
BHM-H-9,Brimham Rocks,Heath,0.009779858
BRI-B-1,Bridestones,Bracken,0.003549769
BRI-B-10,Bridestones,Bracken,0.002766864
BRI-B-2,Bridestones,Bracken,0.022043149
BRI-B-3,Bridestones,Bracken,0.006349625
BRI-B-4,Bridestones,Bracken,0.004529386
BRI-B-5,Bridestones,Bracken,0.005349172
BRI-B-6,Bridestones,Bracken,0.006310196
BRI-B-7,Bridestones,Bracken,0.003326793
BRI-B-8,Bridestones,Bracken,0.010511389
BRI-B-9,Bridestones,Bracken,0.004990782
BRI-H-1,Bridestones,Heath,0.009781839
BRI-H-10,Bridestones,Heath,0.007394008
BRI-H-2,Bridestones,Heath,0.006077091
BRI-H-3,Bridestones,Heath,0.005980434
BRI-H-4,Bridestones,Heath,0.006419486
BRI-H-5,Bridestones,Heath,0.013875905
BRI-H-6,Bridestones,Heath,0.028015183
BRI-H-7,Bridestones,Heath,0.007090355
BRI-H-8,Bridestones,Heath,0.003460216
BRI-H-9,Bridestones,Heath,0.002997221
HAW-B-1,Haweswater,Bracken,0.003555332
HAW-B-10,Haweswater,Bracken,0.004305291
HAW-B-2,Haweswater,Bracken,0.005636914
HAW-B-3,Haweswater,Bracken,0.003452311
HAW-B-4,Haweswater,Bracken,0.002528849
HAW-B-5,Haweswater,Bracken,0.001602259
HAW-B-6,Haweswater,Bracken,0.004079725
HAW-B-7,Haweswater,Bracken,0.003980122
HAW-B-8,Haweswater,Bracken,0.003591396
HAW-B-9,Haweswater,Bracken,0.003549802
HAW-H-1,Haweswater,Heath,0.004191519
HAW-H-10,Haweswater,Heath,0.002454258
HAW-H-2,Haweswater,Heath,0.006202839
HAW-H-3,Haweswater,Heath,0.002630807
HAW-H-4,Haweswater,Heath,0.002048024
HAW-H-5,Haweswater,Heath,0.003670245
HAW-H-6,Haweswater,Heath,0.004659059
HAW-H-7,Haweswater,Heath,0.003397267
HAW-H-8,Haweswater,Heath,0.001180984
