Sample ID,Site,Vegetation,Mesostigmata,Oribatida,Astigmatina,Prostigmata,Symphypleona,Entomobryomorpha,Poduromorpha,Neelidae,Araneae,Enchytraeidae,Thysanoptera,Diptera,Stigmus,Chilopoda,Diplopoda,Staphylinidae,Tingidae,Lasius flavus,Coleoptera,Unknown
HAW B 1,Haweswater,Bracken,22,140,15,18,2,4,6,8,2,1,1,,,,,,,,,
HAW B 6,Haweswater,Bracken,13,100,3,10,4,1,7,1,,,,,,,,,,,,
HAW B 9,Haweswater,Bracken,14,28,15,14,0,4,4,1,,,,,,,,,,,,
HAW B 2,Haweswater,Bracken,24,257,31,27,2,46,56,5,1,4,,,1,,,,,1,,
HAW B 7,Haweswater,Bracken,23,154,34,8,6,14,31,2,,1,,1,,,,,,,,
HAW H 1,Haweswater,Heath,8,151,25,28,1,30,5,,,1,,2,,1,,1,,,,1
HAW H 2,Haweswater,Heath,12,50,41,10,,72,9,,,,,1,,,,,,,,
HAW H 3,Haweswater,Heath,8,57,40,25,1,31,108,,,,,,,1,,,,,,
HAW H 4,Haweswater,Heath,15,23,50,29,6,220,85,14,1,9,,,,,,,,,,
HAW H 5,Haweswater,Heath,12,25,17,1,2,1,4,1,1,2,,1,,,,,,,,
WHI B 1,Whiteside,Bracken,19,142,2,17,6,37,3,8,,,,,1,,,,,,,1
WHI B 2,Whiteside,Bracken,6,47,79,52,,27,30,5,,5,,2,,3,,1,,,,
WHI B 3,Whiteside,Bracken,32,174,72,30,2,35,42,13,,10,,,,,,,,,,6
WHI B 4,Whiteside,Bracken,1,4,1,5,1,1,,,,1,,2,,,,,,,,
WHI B 5,Whiteside,Bracken,13,90,19,7,1,10,2,,,3,,,,1,,,,,,1
WHI H 1,Whiteside,Heath,12,47,15,6,1,141,23,2,,1,,2,,,,,,,,
WHI H 2,Whiteside,Heath,13,52,32,14,1,55,34,3,,,1,4,,,,,,,,
WHI H 3,Whiteside,Heath,9,137,21,28,1,19,45,1,,2,,2,,,,,,,,1
WHI H 4,Whiteside,Heath,9,81,33,37,4,143,56,4,,2,,3,,,,,,,,
WHI H 5,Whiteside,Heath,6,98,48,12,3,19,7,2,,1,,1,,1,,,,,,3
BHM B 1,Brimham Rocks,Bracken,14,335,180,36,,4,3,,,3,,,,,,,,,,
