Sample ID,Vegetation,Dry soil mass (g)
BRI-B-1,Bracken,70.2
BRI-B-10,Bracken,169.5
BRI-B-2,Bracken,110.9
BRI-B-3,Bracken,107.4
BRI-B-4,Bracken,63.6
BRI-B-5,Bracken,57.7
BRI-B-6,Bracken,102
BRI-B-7,Bracken,36.7
BRI-B-8,Bracken,34.7
BRI-B-9,Bracken,78.9
BRI-H-1,Heather,108.2
BRI-H-10,Heather,94.1
BRI-H-2,Heather,154.2
BRI-H-3,Heather,38.4
BRI-H-4,Heather,237.4
BRI-H-5,Heather,273.2
BRI-H-6,Heather,147.1
BRI-H-7,Heather,100.1
BRI-H-8,Heather,42
BRI-H-9,Heather,65.1
SWM-B-1,Bracken,181.2
SWM-B-10,Bracken,114.8
SWM-B-2,Bracken,42.8
SWM-B-3,Bracken,32.6
SWM-B-4,Bracken,91.7
SWM-B-5,Bracken,133.5
SWM-B-6,Bracken,107.3
SWM-B-7,Bracken,34.3
SWM-B-8,Bracken,97.6
SWM-B-9,Bracken,71.5
SWM-H-1,Heather,22.6
SWM-H-10,Heather,205.9
SWM-H-2,Heather,190.1
SWM-H-3,Heather,212.9
SWM-H-4,Heather,120.5
SWM-H-5,Heather,142.9
SWM-H-6,Heather,85.6
SWM-H-7,Heather,140.4
SWM-H-8,Heather,91.6
SWM-H-9,Heather,109.7
BHM-B-1,Bracken,135.6
BHM-B-10,Bracken,53.4
BHM-B-2,Bracken,70.7
BHM-B-3,Bracken,184.2
BHM-B-4,Bracken,196.2
BHM-B-5,Bracken,52.1
BHM-B-6,Bracken,147.5
BHM-B-7,Bracken,111.3
BHM-B-8,Bracken,145.9
BHM-B-9,Bracken,141.7
BHM-H-1,Heather,117.1
BHM-H-10,Heather,145.9
BHM-H-2,Heather,40.9
BHM-H-3,Heather,145.3
BHM-H-4,Heather,219.4
BHM-H-5,Heather,144.4
BHM-H-6,Heather,225.7
BHM-H-7,Heather,177.5
BHM-H-8,Heather,97.5
BHM-H-9,Heather,97.8
WDY-B-1,Bracken,113.53
WDY-B-2,Bracken,107.54
WDY-B-3,Bracken,122.37
WDY-B-4,Bracken,120.69
WDY-B-5,Bracken,71.05
WDY-B-6,Bracken,100.71
WDY-B-7,Bracken,203.67
WDY-B-8,Bracken,114.95
WDY-B-9,Bracken,65.29
WDY-B-10,Bracken,66.98
WDY-H-1,Heather,218.76
WDY-H-2,Heather,152.5
WDY-H-3,Heather,209.37
WDY-H-4,Heather,158.45
WDY-H-5,Heather,118.49
WDY-H-6,Heather,139.65
WDY-H-7,Heather,26.39
WDY-H-8,Heather,39.6
WDY-H-9,Heather,75.11
WDY-H-10,Heather,115.98
HAW-B-1,Bracken,82.8
HAW-B-2,Bracken,58.3
HAW-B-3,Bracken,111
HAW-B-4,Bracken,39.8
HAW-B-5,Bracken,54.6
HAW-B-6,Bracken,105.3
HAW-B-7,Bracken,59.3
HAW-B-8,Bracken,66.7
HAW-B-9,Bracken,32.5
HAW-B-10,Bracken,123
HAW-H-1,Heather,39
HAW-H-2,Heather,43.9
HAW-H-3,Heather,66.9
HAW-H-4,Heather,71.2
HAW-H-5,Heather,50.6
HAW-H-6,Heather,37.2
HAW-H-7,Heather,46.6
HAW-H-8,Heather,47.7
HAW-H-9,Heather,57
HAW-H-10,Heather,36.1
WHI-B-1,Bracken,149.8
WHI-B-2,Bracken,137
WHI-B-3,Bracken,140.9
WHI-B-4,Bracken,127.7
WHI-B-5,Bracken,102.6
WHI-B-6,Bracken,82.4
WHI-B-7,Bracken,110.6
WHI-B-8,Bracken,135.2
WHI-B-9,Bracken,129.2
WHI-B-10,Bracken,97.1
WHI-H-1,Heather,100.1
WHI-H-2,Heather,150.9
WHI-H-3,Heather,122.9
WHI-H-4,Heather,94.9
WHI-H-5,Heather,81.2
WHI-H-6,Heather,110.1
WHI-H-7,Heather,103.8
WHI-H-8,Heather,116.4
WHI-H-9,Heather,125.7
WHI-H-10,Heather,149.3
