Site,Latitude,Longitude,Date,Groundfrost days,Relative humidity (%),Total rainfall (mm),Partial pressure of water vapour (hPa),Snow lying days
Bridestones,54.3103441,-0.656650824,2014,96.49912085,85.65164103,977.2331144,10.16895778,8.306639056
Scarth Wood Moor,54.3900835,-1.28311144,2014,67.04632306,83.42268868,793.6923008,9.97883331,10.36770722
Brimham Moor,54.0798806,-1.679720355,2014,76.66384232,83.02569059,1073.521155,10.0626748,6.169279563
Widdybanks,54.6599173,-2.25431014,2014,95.69837816,84.60659418,1385.203731,9.76970409,21.14493362
Haweswater,54.5273875,-2.772491395,2014,72.24153474,84.42228557,2363.053212,9.728285857,12.18581788
Whiteside,54.5806593,-3.290704565,2014,67.73802426,82.95902959,2016.56648,9.819736604,15.0129187
Bridestones,54.3103441,-0.656650824,2015,116.7860443,82.06847883,893.543031,9.320310816,14.31188417
Scarth Wood Moor,54.3900835,-1.28311144,2015,100.3649079,80.19888374,806.3406628,9.197221487,22.97913943
Brimham Moor,54.0798806,-1.679720355,2015,98.99649451,80.27087005,1241.690801,9.329839023,18.46310012
Widdybanks,54.6599173,-2.25431014,2015,116.6312336,83.27627962,1650.52793,9.104969603,41.64747097
Haweswater,54.5273875,-2.772491395,2015,102.8934194,82.92019771,2824.085703,9.008919378,29.38412097
Whiteside,54.5806593,-3.290704565,2015,79.40145625,82.05592887,2330.489748,9.166904965,28.2273856
Bridestones,54.3103441,-0.656650824,2016,129.8086509,84.50596105,1083.473122,9.794704089,10.44805001
Scarth Wood Moor,54.3900835,-1.28311144,2016,96.75886895,82.53858563,772.3763419,9.638355338,17.01134159
Brimham Moor,54.0798806,-1.679720355,2016,102.9212971,82.43327804,1022.243865,9.785151626,13.9173381
Widdybanks,54.6599173,-2.25431014,2016,115.0794607,84.32741079,1111.047486,9.477053537,25.0330109
Haweswater,54.5273875,-2.772491395,2016,113.9552445,84.67588062,1902.165343,9.532189571,17.37744116
Whiteside,54.5806593,-3.290704565,2016,100.7740131,83.05679575,1878.495201,9.68887535,20.83005658
Bridestones,54.3103441,-0.656650824,2017,119.5783345,83.55311447,1030.240665,9.83120695,13.90448547
Scarth Wood Moor,54.3900835,-1.28311144,2017,91.47652504,81.63909436,827.8430627,9.663091458,17.36246061
Brimham Moor,54.0798806,-1.679720355,2017,90.6867831,81.92412897,892.739711,9.849950683,2.703861744
Widdybanks,54.6599173,-2.25431014,2017,115.2378341,84.1798522,1191.580977,9.533242723,30.58898123
Haweswater,54.5273875,-2.772491395,2017,98.39323782,84.4722642,1924.480402,9.629583844,20.60085503
Whiteside,54.5806593,-3.290704565,2017,92.88376858,83.22356274,2113.62383,9.713797929,20.73203053
Bridestones,54.3103441,-0.656650824,2018,116.1586662,82.94005107,846.2680058,9.724277621,20.0102165
Scarth Wood Moor,54.3900835,-1.28311144,2018,98.27982945,81.23273069,640.7274043,9.594796464,27.35003566
Brimham Moor,54.0798806,-1.679720355,2018,99.64789916,81.20407754,952.6341979,9.748393199,12.67469639
Widdybanks,54.6599173,-2.25431014,2018,124.7321554,82.48919455,1085.608286,9.357700954,53.35029811
Haweswater,54.5273875,-2.772491395,2018,108.157703,82.74768891,1899.756716,9.436722731,33.92577107
Whiteside,54.5806593,-3.290704565,2018,91.41432945,81.00227193,1619.420573,9.491752976,27.57641637
Bridestones,54.3103441,-0.656650824,2019,113.7197143,83.61833717,1096.190226,9.740740833,8.632694469
Scarth Wood Moor,54.3900835,-1.28311144,2019,96.21009349,82.20289675,834.5676716,9.582731235,8.478020449
Brimham Moor,54.0798806,-1.679720355,2019,104.4943814,82.47228095,1215.284565,9.767221497,4.513320654
Widdybanks,54.6599173,-2.25431014,2019,137.8480633,83.3181722,1437.888834,9.279157511,18.7432323
Haweswater,54.5273875,-2.772491395,2019,99.20598462,83.78877541,2081.877969,9.409766783,11.45256774
Whiteside,54.5806593,-3.290704565,2019,74.88246835,81.75924619,2000.977856,9.436981796,11.78605989
Bridestones,54.3103441,-0.656650824,2020,107.8180772,82.98486334,1041.864901,9.763970018,3.991338244
Scarth Wood Moor,54.3900835,-1.28311144,2020,83.4446113,81.28605208,817.7988081,9.643020634,7.73698729
Brimham Moor,54.0798806,-1.679720355,2020,95.82029794,81.30362504,1334.485093,9.790930141,6.272249487
Widdybanks,54.6599173,-2.25431014,2020,143.5174767,82.86255395,1626.917792,9.321662569,24.08191209
Haweswater,54.5273875,-2.772491395,2020,102.9598926,83.7052223,2963.663003,9.524707635,8.335094596
Whiteside,54.5806593,-3.290704565,2020,71.84016629,81.92659755,2335.147772,9.677280624,9.667970622
Bridestones,54.3103441,-0.656650824,2021,134.8441515,83.39205482,999.354487,9.794255246,17.39520621
Scarth Wood Moor,54.3900835,-1.28311144,2021,102.4154653,82.02947279,877.9355099,9.753226632,33.98729533
Brimham Moor,54.0798806,-1.679720355,2021,111.0143984,81.8989745,1047.320518,9.846340807,25.17505579
Widdybanks,54.6599173,-2.25431014,2021,131.6344476,83.03098227,1188.717513,9.319446607,43.80714524
Haweswater,54.5273875,-2.772491395,2021,116.7625545,83.39988372,2197.302731,9.391374195,21.61364606
Whiteside,54.5806593,-3.290704565,2021,100.8597686,82.49326744,1923.760184,9.662984301,26.67178146
Bridestones,54.3103441,-0.656650824,2023,92.02480687,83.60460868,1266.23015,10.11772472,9.131525909
Scarth Wood Moor,54.3900835,-1.28311144,2023,73.27666758,81.90313003,875.9906148,9.981698767,15.86320362
Brimham Moor,54.0798806,-1.679720355,2023,80.69831939,81.6980363,1308.890792,10.10324555,9.50859019
Widdybanks,54.6599173,-2.25431014,2023,91.83850466,83.68382567,1453.367602,9.704508307,17.89859613
Haweswater,54.5273875,-2.772491395,2023,85.30760629,84.27100999,2448.38933,9.877512932,11.71748687
Whiteside,54.5806593,-3.290704565,2023,78.50786283,82.68006671,2065.12024,9.899057447,14.38503868
Bridestones,54.3103441,-0.656650824,2023,92.02480687,83.60460868,1266.23015,10.11772472,9.131525909
Scarth Wood Moor,54.3900835,-1.28311144,2023,73.27666758,81.90313003,875.9906148,9.981698767,15.86320362
Brimham Moor,54.0798806,-1.679720355,2023,80.69831939,81.6980363,1308.890792,10.10324555,9.50859019
Widdybanks,54.6599173,-2.25431014,2023,91.83850466,83.68382567,1453.367602,9.704508307,17.89859613
Haweswater,54.5273875,-2.772491395,2023,85.30760629,84.27100999,2448.38933,9.877512932,11.71748687
Whiteside,54.5806593,-3.290704565,2023,78.50786283,82.68006671,2065.12024,9.899057447,14.38503868
Bridestones,54.3103441,-0.656650824,2024,88.94524559,83.60590655,1164.000137,10.06513604,9.465892217
Scarth Wood Moor,54.3900835,-1.28311144,2024,78.02300524,82.23298338,956.9834996,9.979622865,6.072208529
Brimham Moor,54.0798806,-1.679720355,2024,75.45610871,82.47159967,1146.442285,10.13630887,8.27939552
Widdybanks,54.6599173,-2.25431014,2024,89.68880579,84.29869864,1241.254086,9.670018594,16.12685612
Haweswater,54.5273875,-2.772491395,2024,82.62707915,84.66797046,2451.769445,9.731642633,9.818848166
Whiteside,54.5806593,-3.290704565,2024,73.44194086,82.97829714,2239.661889,9.784607448,11.05164216
