Sample ID,Site,Vegetation,Mesostigmata,Oribatida,Astigmatina,Prostigmata,Symphypleona,Entomobryomorpha,Poduromorpha,Neelidae,Araneae,Enchytraeidae,Thysanoptera,Diptera,Stigmus,Chilopoda,Diplopoda,Staphylinidae,Tingidae,Lasius flavus,Coleoptera,Diplura,Parasitoid Wasp,Pseudoscorpiones,Oniscidea,Unknown
HAW B 1,Haweswater,Bracken,22,139,12,18,2,4,6,8,2,1,1,,,,,,,,,,,,,
HAW B 6,Haweswater,Bracken,2,17,2,5,1,,7,0,,,,,,,,,,,,,,,,
HAW B 9,Haweswater,Bracken,14,25,15,14,0,4,4,1,,,,,,,,,,,,,,,,
HAW B 2,Haweswater,Bracken,24,255,31,27,2,46,56,5,1,4,,,1,,,,,1,,,,,,
HAW B 7,Haweswater,Bracken,23,154,34,8,6,14,31,2,,1,,,,,,,,,,,,,,
HAW H 1,Haweswater,Heather,,10,6,2,,5,1,,,1,,1,,,,,,,,,,,,
HAW H 2,Haweswater,Heather,,6,14,,,,6,,,,,1,,,,,,,,,,,,
HAW H 3,Haweswater,Heather,,10,14,16,1,1,77,,,,,,,,,,,,,,,,,
HAW H 4,Haweswater,Heather,,2,3,10,1,,46,,,4,,,,,,,,,,,,,,
HAW H 5,Haweswater,Heather,2,8,14,,2,1,4,,1,2,,1,,,,,,,,,,,,
WHI B 1,Whiteside,Bracken,,15,1,7,4,7,1,3,,,,,1,,,,,,,,,,,
WHI B 2,Whiteside,Bracken,2,14,34,10,,19,29,5,,5,,2,,2,,1,,,,1,,,,
WHI B 3,Whiteside,Bracken,23,74,40,18,2,33,42,13,,10,,,,,,,,,,,,,,
WHI B 4,Whiteside,Bracken,,1,1,1,1,,,,,1,,1,,,,,,,,,,,,
WHI B 5,Whiteside,Bracken,9,43,6,5,1,10,2,,,3,,,,,,,,,,,,,,1
WHI H 1,Whiteside,Heather,12,41,13,5,1,141,23,2,,1,,2,,,,,,,,,,,,
WHI H 2,Whiteside,Heather,3,8,14,6,1,18,29,1,,,1,2,,,,,,,,,,,,
